,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
111,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",42.5038,-83.4764
775,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242
994,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167
1107,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242
1749,812,Rogers Communications Canada Inc.,47.6333,-52.85,395766,CloudPBX,40.7432,-75.2242
1768,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242
1855,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5334,-52.7595
1878,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242
1937,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.5986,-52.6926
1941,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242
1942,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729
1979,7992,Cogeco Cable,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242
2080,855,Bell Canada,45.2308,-66.0953,395766,CloudPBX,40.7432,-75.2242
2134,395766,CloudPBX,40.7432,-75.2242,13280,Three Ireland (Hutchison) limited,53.3331,-6.2489
2199,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242
2319,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.6333,-52.85
2399,395766,CloudPBX,40.7432,-75.2242,13768,Cogeco Peer 1,43.6021,-79.5402
2479,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,48.9682,-54.5906
2707,855,Bell Canada,45.0691,-64.4696,395766,CloudPBX,40.7432,-75.2242
2833,11478,Openface Inc.,45.47,-73.6686,395766,CloudPBX,40.7432,-75.2242
2838,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.47,-73.6686
2897,855,Bell Canada,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242
3293,5769,Videotron Telecom Ltee,45.5528,-73.6411,395766,CloudPBX,40.7432,-75.2242
3641,577,Bell Canada,46.7749,-71.3344,395766,CloudPBX,40.7432,-75.2242
4160,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,45.5528,-73.6411
4177,5769,Videotron Telecom Ltee,46.8287,-71.334,395766,CloudPBX,40.7432,-75.2242
4848,812,Rogers Communications Canada Inc.,48.9682,-54.5906,395766,CloudPBX,40.7432,-75.2242
4851,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,45.0691,-64.4696
4969,14007,Skyway West,43.623,-79.3936,395766,CloudPBX,40.7432,-75.2242
4971,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,43.623,-79.3936
5457,812,Rogers Communications Canada Inc.,43.0443,-81.2391,395766,CloudPBX,40.7432,-75.2242
5820,5769,Videotron Telecom Ltee,45.4667,-73.8833,395766,CloudPBX,40.7432,-75.2242
5852,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,395766,CloudPBX,40.7432,-75.2242
5858,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,46.8287,-71.334
6028,812,Rogers Communications Canada Inc.,43.8582,-79.3985,395766,CloudPBX,40.7432,-75.2242
6083,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5194,-52.8122
6105,812,Rogers Communications Canada Inc.,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242
