,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,send_A
26,215430723,3227975487,7018,"AT&T Services, Inc.",12.215.54.67,37.751,-97.822,393755,CloudPBX,192.102.255.63,43.6319,-79.3716,True
51,3227975506,1279424612,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,577,Bell Canada,76.66.120.100,44.3572,-79.6929,False
57,3330677851,3227975506,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
184,1176754522,3227975507,22652,Fibrenoire Inc.,70.35.217.90,44.25,-80.55,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
192,3330677851,3227975507,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
194,3227975507,3330677851,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167,False
214,3349638548,3227975507,22652,Fibrenoire Inc.,199.167.109.148,43.6564,-79.386,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
249,1176754522,3227975506,22652,Fibrenoire Inc.,70.35.217.90,44.25,-80.55,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
263,3227975507,1176754522,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,22652,Fibrenoire Inc.,70.35.217.90,44.25,-80.55,False
307,3227975506,3349638548,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,22652,Fibrenoire Inc.,199.167.109.148,43.6564,-79.386,False
310,3349638548,3227975506,22652,Fibrenoire Inc.,199.167.109.148,43.6564,-79.386,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
468,3349638557,3227975506,22652,Fibrenoire Inc.,199.167.109.157,43.6564,-79.386,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
958,3227975506,1664327376,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,7018,"AT&T Services, Inc.",99.51.158.208,42.586,-83.5006,False
1157,3227975507,1090361019,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,19171,Stargate Connections Inc.,64.253.150.187,49.1707,-122.7326,False
1220,755176634,3227975506,40788,Start Communications,45.3.20.186,43.5148,-79.884,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1228,3227975506,755176634,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,40788,Start Communications,45.3.20.186,43.5148,-79.884,False
1236,3227975507,755176634,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,40788,Start Communications,45.3.20.186,43.5148,-79.884,False
1262,755176634,3227975507,40788,Start Communications,45.3.20.186,43.5148,-79.884,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
1266,1217120081,3227975507,20453,Rogers Communications Canada Inc.,72.139.199.81,43.6404,-79.3995,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
1279,1085557588,3227975506,852,TELUS Communications Inc.,64.180.75.84,48.4993,-123.4003,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1314,3227975507,3475127854,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,6171,WorldGate,207.34.62.46,53.55,-113.5,False
1353,3517667510,3227975506,852,TELUS Communications Inc.,209.171.88.182,43.6655,-79.4204,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1427,1210486946,3227975507,7992,Cogeco Cable,72.38.144.162,43.6319,-79.3716,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
1437,3227975506,1186483740,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,22773,Cox Communications Inc.,70.184.78.28,32.2541,-110.8785,False
1472,405976275,3227975507,40788,Start Communications,24.50.180.211,43.2271,-79.871,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
1500,1217120081,3227975506,20453,Rogers Communications Canada Inc.,72.139.199.81,43.6404,-79.3995,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1512,3227975507,755172978,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,40788,Start Communications,45.3.6.114,43.4881,-79.7098,False
1520,3227975506,755172978,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,40788,Start Communications,45.3.6.114,43.4881,-79.7098,False
1558,3227975507,405976275,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,40788,Start Communications,24.50.180.211,43.2271,-79.871,False
1581,3227975507,846445562,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,7992,Cogeco Cable,50.115.187.250,42.9578,-82.2777,False
1583,846445562,3227975506,7992,Cogeco Cable,50.115.187.250,42.9578,-82.2777,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1589,755172978,3227975506,40788,Start Communications,45.3.6.114,43.4881,-79.7098,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1591,3227975506,755178755,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,40788,Start Communications,45.3.29.3,43.0147,-81.3049,False
1623,405976275,3227975506,40788,Start Communications,24.50.180.211,43.2271,-79.871,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1625,3227975506,3517667510,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,852,TELUS Communications Inc.,209.171.88.182,43.6655,-79.4204,False
1629,3227975506,1217118531,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,20453,Rogers Communications Canada Inc.,72.139.193.67,43.6404,-79.3995,False
1631,755175897,3227975507,40788,Start Communications,45.3.17.217,43.4032,-79.7186,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
1641,3227975507,755177515,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,40788,Start Communications,45.3.24.43,43.0233,-81.1643,False
1655,3227975506,755175897,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,40788,Start Communications,45.3.17.217,43.4032,-79.7186,False
1659,755172978,3227975507,40788,Start Communications,45.3.6.114,43.4881,-79.7098,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
1663,3349638557,3227975507,22652,Fibrenoire Inc.,199.167.109.157,43.6564,-79.386,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
1673,3227975506,755177515,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,40788,Start Communications,45.3.24.43,43.0233,-81.1643,False
1681,755177515,3227975506,40788,Start Communications,45.3.24.43,43.0233,-81.1643,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1705,1217118531,3227975506,20453,Rogers Communications Canada Inc.,72.139.193.67,43.6404,-79.3995,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
1728,2486945690,3227975507,16696,iTel Networks Inc,148.59.199.154,44.25,-80.55,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
