,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
51,393755,CloudPBX,43.6319,-79.3716,577,Bell Canada,44.3572,-79.6929
194,393755,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167
263,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,44.25,-80.55
307,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,43.6564,-79.386
958,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",42.586,-83.5006
1157,393755,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.1707,-122.7326
1228,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5148,-79.884
1314,393755,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.55,-113.5
1437,393755,CloudPBX,43.6319,-79.3716,22773,Cox Communications Inc.,32.2541,-110.8785
1512,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4881,-79.7098
1558,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2271,-79.871
1581,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9578,-82.2777
1591,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0147,-81.3049
1625,393755,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,43.6655,-79.4204
1629,393755,CloudPBX,43.6319,-79.3716,20453,Rogers Communications Canada Inc.,43.6404,-79.3995
1641,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0233,-81.1643
1655,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4032,-79.7186
1782,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5124,-52.6729
1874,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5334,-52.7595
1900,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9856,-81.1821
1925,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0123,-81.2307
2006,393755,CloudPBX,43.6319,-79.3716,11260,EastLink,45.2,-64.1167
2146,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.2767,-83.0793
2416,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9888,-82.3592
2470,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.5986,-52.6926
2703,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.6333,-52.85
2727,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5194,-52.8122
2779,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5986,-52.6926
2882,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.6319,-79.3716
2892,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5167,-52.7833
3207,393755,CloudPBX,43.6319,-79.3716,11478,Openface Inc.,45.47,-73.6686
3297,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3799,-79.7668
3309,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9998,-82.3926
3369,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0614,-80.9943
3509,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.8404,-79.0251
3534,393755,CloudPBX,43.6319,-79.3716,36493,FIBERNETICS CORPORATION,43.5637,-79.7202
3579,393755,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,44.0168,-78.3995
3680,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6572,-79.3783
3790,393755,CloudPBX,43.6319,-79.3716,15122,Point to Point Broadband Inc.,44.4548,-79.7352
4019,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,42.8909,-81.3236
4139,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.623,-79.3936
4180,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.95,-82.1167
4399,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,45.2308,-66.0953
4632,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,44.9001,-76.2494
4721,393755,CloudPBX,43.6319,-79.3716,36522,BELL MOBILITY INC.,44.2099,-80.6238
4862,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.75,-79.3978
4910,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3512,-79.784
5063,393755,CloudPBX,43.6319,-79.3716,5645,"TekSavvy Solutions, Inc.",42.9976,-81.2563
5120,393755,CloudPBX,43.6319,-79.3716,14007,Skyway West,43.623,-79.3936
5365,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.6319,-79.3716
5506,393755,CloudPBX,43.6319,-79.3716,15122,Point to Point Broadband Inc.,44.4167,-80.0833
5776,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9915,-81.3402
5792,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0147,-81.3049
5812,393755,CloudPBX,43.6319,-79.3716,7794,Execulink Telecom Inc.,42.9856,-81.1821
5850,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,42.7597,-81.1762
5988,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9062,-82.11
6024,393755,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.5528,-73.6411
6050,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0443,-81.2391
6215,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.8833,-82.15
6776,393755,CloudPBX,43.6319,-79.3716,11478,Openface Inc.,45.4805,-73.5554
7202,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9888,-82.3592
7210,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",37.751,-97.822
7229,393755,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.4667,-73.8833
7434,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.323,-79.8092
7626,393755,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,43.0233,-81.1643
7635,393755,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1285,-122.6236
7649,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.9738,-86.1765
7853,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2055,-79.9004
8053,393755,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783
8260,393755,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,43.8432,-79.5644
8367,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6656,-79.383
8417,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.8582,-79.3985
8922,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8686,-86.1003
9239,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8227,-86.145
