,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,b_saddr_asn,b_saddr_asorg
71483861,2018-03-15,3227975250,41732323,395152,CloudPBX,5607,Sky UK Limited
70783533,2018-03-09,3227975251,41733976,395152,CloudPBX,5607,Sky UK Limited
76384583,2018-05-03,1654599250,69076145,395766,CloudPBX,3356,"Level 3 Parent, LLC"
65221709,2018-01-11,3227975251,70715842,395152,CloudPBX,3356,"Level 3 Parent, LLC"
65444938,2018-01-15,3227975250,70715842,395152,CloudPBX,3356,"Level 3 Parent, LLC"
77648504,2018-05-15,3227975506,70715842,393755,CloudPBX,3356,"Level 3 Parent, LLC"
64497959,2018-01-01,3227975250,70715846,395152,CloudPBX,3356,"Level 3 Parent, LLC"
65444057,2018-01-14,3227975251,70715846,395152,CloudPBX,3356,"Level 3 Parent, LLC"
66402278,2018-01-26,3227975250,70723522,395152,CloudPBX,3356,"Level 3 Parent, LLC"
77737397,2018-05-16,3227975506,70723522,393755,CloudPBX,3356,"Level 3 Parent, LLC"
77851961,2018-05-17,1654599250,70723522,395766,CloudPBX,3356,"Level 3 Parent, LLC"
65742253,2018-01-18,3227975250,70723778,395152,CloudPBX,3356,"Level 3 Parent, LLC"
66362202,2018-01-26,3227975251,70723778,395152,CloudPBX,3356,"Level 3 Parent, LLC"
65123759,2018-01-10,3227975251,70723782,395152,CloudPBX,3356,"Level 3 Parent, LLC"
65223201,2018-01-11,3227975250,70723782,395152,CloudPBX,3356,"Level 3 Parent, LLC"
77635221,2018-05-15,3227975507,70723782,393755,CloudPBX,3356,"Level 3 Parent, LLC"
69848002,2018-03-02,3227975506,135491750,393755,CloudPBX,53345,One Source Networks Inc
65306751,2018-01-11,3227975507,135635994,393755,CloudPBX,46680,"Contactual, Inc."
66017643,2018-01-22,3227975506,136052875,393755,CloudPBX,32308,"8x8, Inc."
66298446,2018-01-25,3227975507,136052875,393755,CloudPBX,32308,"8x8, Inc."
64743723,2018-01-04,3227975251,136052878,395152,CloudPBX,32308,"8x8, Inc."
64777963,2018-01-04,3227975250,136052878,395152,CloudPBX,32308,"8x8, Inc."
65185848,2018-01-10,3227975506,136052881,393755,CloudPBX,32308,"8x8, Inc."
65869672,2018-01-19,3227975507,136052881,393755,CloudPBX,32308,"8x8, Inc."
65086323,2018-01-09,3227975506,136052882,393755,CloudPBX,32308,"8x8, Inc."
65480789,2018-01-15,3227975507,136052882,393755,CloudPBX,32308,"8x8, Inc."
65459195,2018-01-15,3227975507,136052883,393755,CloudPBX,32308,"8x8, Inc."
71108859,2018-03-13,3227975506,136052883,393755,CloudPBX,32308,"8x8, Inc."
64953999,2018-01-08,3227975507,136052884,393755,CloudPBX,32308,"8x8, Inc."
67382989,2018-02-06,3227975506,136052884,393755,CloudPBX,32308,"8x8, Inc."
68875023,2018-02-21,3227975506,136053194,393755,CloudPBX,32308,"8x8, Inc."
65528895,2018-01-15,3227975250,136716784,395152,CloudPBX,16504,Granite Telecommunications LLC
78226405,2018-05-23,3227975251,136716784,395152,CloudPBX,16504,Granite Telecommunications LLC
74148445,2018-04-11,3227975507,215430723,393755,CloudPBX,7018,"AT&T Services, Inc."
74153512,2018-04-11,3227975506,215430723,393755,CloudPBX,7018,"AT&T Services, Inc."
74312423,2018-04-12,1654599251,215430723,395766,CloudPBX,7018,"AT&T Services, Inc."
74330559,2018-04-12,1654599250,215430723,395766,CloudPBX,7018,"AT&T Services, Inc."
76024379,2018-04-30,3227975486,215430723,393755,CloudPBX,7018,"AT&T Services, Inc."
76029335,2018-04-30,3227975487,215430723,393755,CloudPBX,7018,"AT&T Services, Inc."
78144650,2018-05-23,3227975250,215430723,395152,CloudPBX,7018,"AT&T Services, Inc."
78157571,2018-05-23,3227975251,215430723,395152,CloudPBX,7018,"AT&T Services, Inc."
74735918,2018-04-17,1654599250,243845606,395766,CloudPBX,10103,HK Broadband Network Ltd.
64754858,2018-01-04,3227975250,386933003,395152,CloudPBX,852,TELUS Communications Inc.
64844736,2018-01-05,3227975251,386933003,395152,CloudPBX,852,TELUS Communications Inc.
65205642,2018-01-10,3227975507,386933003,393755,CloudPBX,852,TELUS Communications Inc.
65721753,2018-01-17,3227975506,386933003,393755,CloudPBX,852,TELUS Communications Inc.
77954816,2018-05-18,1654599250,386933003,395766,CloudPBX,852,TELUS Communications Inc.
77960626,2018-05-18,1654599251,386933003,395766,CloudPBX,852,TELUS Communications Inc.
70408342,2018-03-07,3227975251,386961018,395152,CloudPBX,852,TELUS Communications Inc.
71589257,2018-03-16,3227975250,386961018,395152,CloudPBX,852,TELUS Communications Inc.
64561876,2018-01-02,3227975250,386965699,395152,CloudPBX,852,TELUS Communications Inc.
64563507,2018-01-02,3227975251,386965699,395152,CloudPBX,852,TELUS Communications Inc.
74762962,2018-04-17,3227975506,386965699,393755,CloudPBX,852,TELUS Communications Inc.
76076164,2018-04-30,3227975507,386965699,393755,CloudPBX,852,TELUS Communications Inc.
64957150,2018-01-08,3227975250,386966137,395152,CloudPBX,852,TELUS Communications Inc.
64962594,2018-01-08,3227975251,386966137,395152,CloudPBX,852,TELUS Communications Inc.
67582920,2018-02-07,3227975250,386985224,395152,CloudPBX,852,TELUS Communications Inc.
68046033,2018-02-13,3227975251,386985224,395152,CloudPBX,852,TELUS Communications Inc.
77054765,2018-05-09,3227975251,386989517,395152,CloudPBX,852,TELUS Communications Inc.
77059619,2018-05-09,3227975250,386989517,395152,CloudPBX,852,TELUS Communications Inc.
77951834,2018-05-18,3227975506,386989517,393755,CloudPBX,852,TELUS Communications Inc.
77952949,2018-05-18,3227975507,386989517,393755,CloudPBX,852,TELUS Communications Inc.
77960332,2018-05-18,1654599250,386989517,395766,CloudPBX,852,TELUS Communications Inc.
77968696,2018-05-18,1654599251,386989517,395766,CloudPBX,852,TELUS Communications Inc.
64526610,2018-01-02,3227975250,386989957,395152,CloudPBX,852,TELUS Communications Inc.
64531714,2018-01-02,3227975251,386989957,395152,CloudPBX,852,TELUS Communications Inc.
