,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
0,1654599251,1818172010,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",42.5038,-83.4764,False,60,0.00044696969696969704,44.916666666666664
1,2393257217,1654599251,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,True,21,0.0,45.0
2,1654599251,417208700,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167,False,194,0.03777824405193179,42.19072164948454
3,417208700,1654599250,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242,True,80,0.11668706061136817,41.4
4,417208698,1654599251,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242,True,3925,0.00040962909879611046,44.97859872611465
5,417208698,1654599250,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242,True,3340,0.00022251821738297512,44.97544910179641
6,1654599250,417208698,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167,False,1631,0.0002775010561184444,44.84794604537094
7,417208700,1654599251,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242,True,95,0.05249359781183733,40.6
8,1654599251,417208698,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167,False,1691,0.0001824725562724815,44.90715552927262
9,1676539840,1654599250,812,Rogers Communications Canada Inc.,47.6333,-52.85,395766,CloudPBX,40.7432,-75.2242,True,753,0.0021921770245833727,44.85790172642762
10,3514832870,1654599251,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242,True,16,0.0,45.0
11,1654599251,2393257259,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5334,-52.7595,False,304,0.00019280340262558285,44.94407894736842
12,2904576785,1654599250,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,True,163,0.0007442847553661297,44.96319018404908
13,1654599251,2904575889,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.5986,-52.6926,False,153,0.0016329483399763623,44.64705882352941
14,2393990862,1654599251,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242,True,321,0.005877045610529459,43.822429906542055
15,1654599251,2393990862,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729,False,262,7.7100294195046e-05,44.68320610687023
16,1676535575,1654599251,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,True,67,0.007655864059628778,44.91044776119403
17,3638379076,1654599251,7992,Cogeco Cable,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242,True,711,0.0002461260265365235,44.9873417721519
18,1676535575,1654599250,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,True,62,0.019065559205305983,44.903225806451616
19,2393257259,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,True,644,7.476749651415073e-05,44.99068322981366
20,2393257259,1654599251,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,True,612,2.7183721431528737e-05,44.99346405228758
21,2393277605,1654599251,855,Bell Canada,45.2308,-66.0953,395766,CloudPBX,40.7432,-75.2242,True,118,5.600244444154486e-05,44.95762711864407
