,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
0,1654599251,1818172010,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",42.5038,-83.4764,60
1,2393257217,1654599251,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,21
2,1654599251,417208700,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167,194
3,417208700,1654599250,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242,80
4,417208698,1654599251,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242,3925
5,417208698,1654599250,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242,3340
6,1654599250,417208698,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167,1631
7,417208700,1654599251,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242,95
8,1654599251,417208698,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167,1691
9,1676539840,1654599250,812,Rogers Communications Canada Inc.,47.6333,-52.85,395766,CloudPBX,40.7432,-75.2242,753
10,3514832870,1654599251,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242,16
11,1654599251,2393257259,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5334,-52.7595,304
12,2904576785,1654599250,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,163
13,1654599251,2904575889,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.5986,-52.6926,153
14,2393990862,1654599251,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242,321
15,1654599251,2393990862,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729,262
16,1676535575,1654599251,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,67
17,3638379076,1654599251,7992,Cogeco Cable,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242,711
18,1676535575,1654599250,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,62
19,2393257259,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,644
20,2393257259,1654599251,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,612
21,2393277605,1654599251,855,Bell Canada,45.2308,-66.0953,395766,CloudPBX,40.7432,-75.2242,118
22,2393990862,1654599250,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242,278
23,1654599250,2393990862,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729,222
24,3514832870,1654599250,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242,15
25,1654599250,1599332522,395766,CloudPBX,40.7432,-75.2242,13280,Three Ireland (Hutchison) limited,53.3331,-6.2489,6
26,2393314675,1654599250,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242,47
27,2904576785,1654599251,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,156
28,1654599250,1676539840,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.6333,-52.85,628
29,1654599251,3507478250,395766,CloudPBX,40.7432,-75.2242,13768,Cogeco Peer 1,43.6021,-79.5402,458
30,1654599250,417208700,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167,168
31,1654599250,3507478250,395766,CloudPBX,40.7432,-75.2242,13768,Cogeco Peer 1,43.6021,-79.5402,462
32,1654599250,1676840295,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,48.9682,-54.5906,88
33,1676539840,1654599251,812,Rogers Communications Canada Inc.,47.6333,-52.85,395766,CloudPBX,40.7432,-75.2242,760
34,1654599251,1676539840,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.6333,-52.85,566
35,3514831954,1654599250,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242,187
36,2394021867,1654599251,855,Bell Canada,45.0691,-64.4696,395766,CloudPBX,40.7432,-75.2242,366
37,3514831954,1654599251,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242,177
38,3626900266,1654599250,11478,Openface Inc.,45.47,-73.6686,395766,CloudPBX,40.7432,-75.2242,762
39,1654599250,3626900266,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.47,-73.6686,262
40,2392989210,1654599250,855,Bell Canada,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,19
41,1654599250,2904576785,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.5986,-52.6926,58
42,1654599250,2393257380,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5334,-52.7595,42
43,2914253051,1654599250,5769,Videotron Telecom Ltee,45.5528,-73.6411,395766,CloudPBX,40.7432,-75.2242,1095
44,2393314965,1654599251,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242,76
45,1096686281,1654599250,577,Bell Canada,46.7749,-71.3344,395766,CloudPBX,40.7432,-75.2242,142
46,2393257407,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,27
47,1654599250,2393257259,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5334,-52.7595,329
48,2393314675,1654599251,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242,54
