,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
0,215430723,3227975487,7018,"AT&T Services, Inc.",37.751,-97.822,393755,CloudPBX,43.6319,-79.3716,True,24081,0.003034168959527596,44.46758855529256
1,3227975506,1279424612,393755,CloudPBX,43.6319,-79.3716,577,Bell Canada,44.3572,-79.6929,False,141,0.0039033961647977075,44.262411347517734
2,3330677851,3227975506,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,393755,CloudPBX,43.6319,-79.3716,True,326,0.0014138432643828489,44.95398773006135
3,1176754522,3227975507,22652,Fibrenoire Inc.,44.25,-80.55,393755,CloudPBX,43.6319,-79.3716,True,624,0.0044166671102366115,44.77403846153846
4,3330677851,3227975507,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,393755,CloudPBX,43.6319,-79.3716,True,291,0.0023709862999214035,44.96219931271477
5,3227975507,3330677851,393755,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,False,70,0.0003304178814382896,44.84285714285714
6,3349638548,3227975507,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,393755,CloudPBX,43.6319,-79.3716,True,746,0.0006265932834392666,44.95576407506702
7,1176754522,3227975506,22652,Fibrenoire Inc.,44.25,-80.55,393755,CloudPBX,43.6319,-79.3716,True,524,0.0013794461417436792,44.83969465648855
8,3227975507,1176754522,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,44.25,-80.55,False,503,0.0032849654068357534,44.842942345924456
9,3227975506,3349638548,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,False,442,0.0009327068228926357,44.96153846153846
10,3349638548,3227975506,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,393755,CloudPBX,43.6319,-79.3716,True,678,0.0010270020946021867,44.93362831858407
11,3349638557,3227975506,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,393755,CloudPBX,43.6319,-79.3716,True,89,0.002957177825659711,44.662921348314605
12,3227975506,1664327376,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",42.586000000000006,-83.5006,False,37,1.0103561505430664e-05,45.0
13,3227975507,1090361019,393755,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.1707,-122.7326,False,67,0.00010426497152011231,45.0
14,755176634,3227975506,40788,Start Communications,43.5148,-79.884,393755,CloudPBX,43.6319,-79.3716,True,140,0.0021178809008950924,44.75714285714286
15,3227975506,755176634,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5148,-79.884,False,134,0.00034374232926099603,44.149253731343286
16,3227975507,755176634,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5148,-79.884,False,141,0.000587906298093576,44.47517730496454
17,755176634,3227975507,40788,Start Communications,43.5148,-79.884,393755,CloudPBX,43.6319,-79.3716,True,155,0.0025573976117306265,44.72258064516129
18,1217120081,3227975507,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,393755,CloudPBX,43.6319,-79.3716,True,36,0.0037365482433910704,44.97222222222222
19,1085557588,3227975506,852,TELUS Communications Inc.,48.4993,-123.4003,393755,CloudPBX,43.6319,-79.3716,True,27,0.002326502724930969,44.851851851851855
20,3227975507,3475127854,393755,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.55,-113.5,False,9,0.0,45.0
21,3517667510,3227975506,852,TELUS Communications Inc.,43.6655,-79.4204,393755,CloudPBX,43.6319,-79.3716,True,89,0.001209511419165693,44.91011235955056
22,1210486946,3227975507,7992,Cogeco Cable,43.6319,-79.3716,393755,CloudPBX,43.6319,-79.3716,True,293,0.002829025339206381,44.32764505119454
23,3227975506,1186483740,393755,CloudPBX,43.6319,-79.3716,22773,Cox Communications Inc.,32.2541,-110.8785,False,63,0.0017749284030916977,44.96825396825397
24,405976275,3227975507,40788,Start Communications,43.2271,-79.87100000000001,393755,CloudPBX,43.6319,-79.3716,True,20,0.00013333333333333334,45.0
25,1217120081,3227975506,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,393755,CloudPBX,43.6319,-79.3716,True,24,0.004205784145046676,44.833333333333336
26,3227975507,755172978,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4881,-79.7098,False,96,9.094430202983329e-05,44.541666666666664
