,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
0,215430723,3227975487,7018,"AT&T Services, Inc.",37.751,-97.822,393755,CloudPBX,43.6319,-79.3716,24081
1,3227975506,1279424612,393755,CloudPBX,43.6319,-79.3716,577,Bell Canada,44.3572,-79.6929,141
2,3330677851,3227975506,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,393755,CloudPBX,43.6319,-79.3716,326
3,1176754522,3227975507,22652,Fibrenoire Inc.,44.25,-80.55,393755,CloudPBX,43.6319,-79.3716,624
4,3330677851,3227975507,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,393755,CloudPBX,43.6319,-79.3716,291
5,3227975507,3330677851,393755,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,70
6,3349638548,3227975507,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,393755,CloudPBX,43.6319,-79.3716,746
7,1176754522,3227975506,22652,Fibrenoire Inc.,44.25,-80.55,393755,CloudPBX,43.6319,-79.3716,524
8,3227975507,1176754522,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,44.25,-80.55,503
9,3227975506,3349638548,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,442
10,3349638548,3227975506,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,393755,CloudPBX,43.6319,-79.3716,678
11,3349638557,3227975506,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,393755,CloudPBX,43.6319,-79.3716,89
12,3227975506,1664327376,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",42.586000000000006,-83.5006,37
13,3227975507,1090361019,393755,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.1707,-122.7326,67
14,755176634,3227975506,40788,Start Communications,43.5148,-79.884,393755,CloudPBX,43.6319,-79.3716,140
15,3227975506,755176634,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5148,-79.884,134
