,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
0,3227975250,1176778026,395152,CloudPBX,43.6319,-79.3716,40029,Novus Entertainment Inc.,49.2788,-123.1139,False,655,9.436674693830199e-05,44.97709923664122
1,1614226523,3227975250,6327,Shaw Communications Inc.,49.1889,-122.87299999999999,395152,CloudPBX,43.6319,-79.3716,True,219,0.0001586671176713113,45.0
2,3227975251,1268628388,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.8928,-119.4852,False,130,0.0,45.0
3,1268497742,3227975250,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,True,365,0.00012618678675468026,45.0
4,3227975250,3330677851,395152,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,False,830,0.0005288668610795251,44.92409638554217
5,3330677851,3227975250,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,395152,CloudPBX,43.6319,-79.3716,True,571,0.0006255151819382584,44.9369527145359
6,3350650146,3227975250,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,True,1354,8.835409507956348e-06,44.99556868537666
7,875246285,3227975250,16509,"Amazon.com, Inc.",45.8696,-119.68799999999999,395152,CloudPBX,43.6319,-79.3716,True,696,9.849320787189025e-06,44.991379310344826
8,3227975250,3091469318,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2436,-122.7865,False,520,0.0006189080571759476,44.948076923076925
9,1268497742,3227975251,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,True,370,0.0001410159613494207,44.994594594594595
10,3227975251,3640363090,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.2788,-123.1139,False,3483,0.00028536214497758316,44.95033017513638
11,3227975251,2731908580,395152,CloudPBX,43.6319,-79.3716,54527,Astute Hosting Inc.,49.2866,-123.1158,False,548,0.0006688128790605463,44.83029197080292
12,3640363090,3227975251,14007,Skyway West,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,True,4204,0.00015940435983599263,44.94362511893435
13,3227975250,1823229904,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2475,-123.12100000000001,False,308,0.00026479055721660596,44.65584415584416
14,1653563098,3227975251,19171,Stargate Connections Inc.,49.2767,-123.13,395152,CloudPBX,43.6319,-79.3716,True,384,0.0001555932523784848,44.927083333333336
15,1268498338,3227975250,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,True,332,4.2764566293136664e-05,45.0
16,843371666,3227975250,6327,Shaw Communications Inc.,49.316,-123.0576,395152,CloudPBX,43.6319,-79.3716,True,148,0.0019683626516416625,44.86486486486486
17,1653560011,3227975251,19171,Stargate Connections Inc.,49.2795,-123.0667,395152,CloudPBX,43.6319,-79.3716,True,422,4.356693916123268e-06,44.99526066350711
18,3330677851,3227975251,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,395152,CloudPBX,43.6319,-79.3716,True,437,0.0005778881999978945,44.96796338672769
19,1823229904,3227975250,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,True,217,0.00012068028282941865,44.8294930875576
20,1268498338,3227975251,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,True,302,5.56828620775195e-06,45.0
21,1090361019,3227975251,19171,Stargate Connections Inc.,49.1707,-122.7326,395152,CloudPBX,43.6319,-79.3716,True,85,2.100840336134454e-07,45.0
22,1090360550,3227975250,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,True,308,3.532839944843645e-05,44.84415584415584
23,1653563098,3227975250,19171,Stargate Connections Inc.,49.2767,-123.13,395152,CloudPBX,43.6319,-79.3716,True,399,7.721620724080388e-05,44.89473684210526
24,3227975251,1176778026,395152,CloudPBX,43.6319,-79.3716,40029,Novus Entertainment Inc.,49.2788,-123.1139,False,696,1.9020509726199364e-05,44.98994252873563
25,3227975251,3632003165,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.4609,-113.4519,False,492,5.299515406102693e-06,45.0
26,1168009517,3227975251,577,Bell Canada,43.7878,-79.1564,395152,CloudPBX,43.6319,-79.3716,True,34,0.0001680672268907563,44.029411764705884
27,3227975250,2731908580,395152,CloudPBX,43.6319,-79.3716,54527,Astute Hosting Inc.,49.2866,-123.1158,False,617,0.00020943796148891182,44.89303079416531
28,1168009517,3227975250,577,Bell Canada,43.7878,-79.1564,395152,CloudPBX,43.6319,-79.3716,True,28,0.002236024844720497,44.035714285714285
