,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
0,3227975250,1176778026,395152,CloudPBX,43.6319,-79.3716,40029,Novus Entertainment Inc.,49.2788,-123.1139,655
1,1614226523,3227975250,6327,Shaw Communications Inc.,49.1889,-122.87299999999999,395152,CloudPBX,43.6319,-79.3716,219
2,3227975251,1268628388,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.8928,-119.4852,130
3,1268497742,3227975250,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,365
4,3227975250,3330677851,395152,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,830
5,3330677851,3227975250,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,395152,CloudPBX,43.6319,-79.3716,571
6,3350650146,3227975250,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,1354
7,875246285,3227975250,16509,"Amazon.com, Inc.",45.8696,-119.68799999999999,395152,CloudPBX,43.6319,-79.3716,696
8,3227975250,3091469318,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2436,-122.7865,520
9,1268497742,3227975251,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,370
10,3227975251,3640363090,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.2788,-123.1139,3483
11,3227975251,2731908580,395152,CloudPBX,43.6319,-79.3716,54527,Astute Hosting Inc.,49.2866,-123.1158,548
12,3640363090,3227975251,14007,Skyway West,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,4204
13,3227975250,1823229904,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2475,-123.12100000000001,308
14,1653563098,3227975251,19171,Stargate Connections Inc.,49.2767,-123.13,395152,CloudPBX,43.6319,-79.3716,384
15,1268498338,3227975250,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,332
16,843371666,3227975250,6327,Shaw Communications Inc.,49.316,-123.0576,395152,CloudPBX,43.6319,-79.3716,148
17,1653560011,3227975251,19171,Stargate Connections Inc.,49.2795,-123.0667,395152,CloudPBX,43.6319,-79.3716,422
18,3330677851,3227975251,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,395152,CloudPBX,43.6319,-79.3716,437
19,1823229904,3227975250,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,217
20,1268498338,3227975251,852,TELUS Communications Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,302
21,1090361019,3227975251,19171,Stargate Connections Inc.,49.1707,-122.7326,395152,CloudPBX,43.6319,-79.3716,85
22,1090360550,3227975250,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,308
23,1653563098,3227975250,19171,Stargate Connections Inc.,49.2767,-123.13,395152,CloudPBX,43.6319,-79.3716,399
24,3227975251,1176778026,395152,CloudPBX,43.6319,-79.3716,40029,Novus Entertainment Inc.,49.2788,-123.1139,696
25,3227975251,3632003165,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.4609,-113.4519,492
26,1168009517,3227975251,577,Bell Canada,43.7878,-79.1564,395152,CloudPBX,43.6319,-79.3716,34
27,3227975250,2731908580,395152,CloudPBX,43.6319,-79.3716,54527,Astute Hosting Inc.,49.2866,-123.1158,617
28,1168009517,3227975250,577,Bell Canada,43.7878,-79.1564,395152,CloudPBX,43.6319,-79.3716,28
29,2919736882,3227975250,6327,Shaw Communications Inc.,49.299,-123.1408,395152,CloudPBX,43.6319,-79.3716,390
30,3227975251,3091469318,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2436,-122.7865,526
31,3227975251,3475127854,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.55,-113.5,704
32,1674011774,3227975251,852,TELUS Communications Inc.,49.2667,-122.7833,395152,CloudPBX,43.6319,-79.3716,389
33,3227975250,1168009517,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.7878,-79.1564,14
34,3487050211,3227975250,852,TELUS Communications Inc.,49.2646,-123.1648,395152,CloudPBX,43.6319,-79.3716,72
35,1614103491,3227975250,6327,Shaw Communications Inc.,49.0787,-121.6098,395152,CloudPBX,43.6319,-79.3716,314
36,3227975251,3463712682,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2327,-123.0917,194
37,1614226523,3227975251,6327,Shaw Communications Inc.,49.1889,-122.87299999999999,395152,CloudPBX,43.6319,-79.3716,184
38,1090362003,3227975250,19171,Stargate Connections Inc.,49.2666,-123.1976,395152,CloudPBX,43.6319,-79.3716,2224
39,3227975250,1090362003,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2666,-123.1976,1778
40,1176778026,3227975251,40029,Novus Entertainment Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,131
41,3227975250,3475127854,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.55,-113.5,614
42,3463715872,3227975250,852,TELUS Communications Inc.,49.3615,-123.2627,395152,CloudPBX,43.6319,-79.3716,434
43,1653560604,3227975250,19171,Stargate Connections Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,472
44,3227975250,1653560604,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2475,-123.12100000000001,380
45,3227975250,1090360654,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2866,-123.1158,569
46,1674011774,3227975250,852,TELUS Communications Inc.,49.2667,-122.7833,395152,CloudPBX,43.6319,-79.3716,431
47,3640363090,3227975250,14007,Skyway West,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,4130
48,3227975250,3640363090,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.2788,-123.1139,3417
49,1090360550,3227975251,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,339
50,1090360462,3227975250,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,1289
51,3227975251,3330677851,395152,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,724
52,3227975250,875246285,395152,CloudPBX,43.6319,-79.3716,16509,"Amazon.com, Inc.",45.8696,-119.68799999999999,1323
53,3091631882,3227975251,6327,Shaw Communications Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,430
54,1613813930,3227975251,6327,Shaw Communications Inc.,49.0997,-122.6526,395152,CloudPBX,43.6319,-79.3716,92
55,3463713115,3227975251,852,TELUS Communications Inc.,43.6319,-79.3716,395152,CloudPBX,43.6319,-79.3716,116
56,408226899,3227975250,6327,Shaw Communications Inc.,49.17,-123.1368,395152,CloudPBX,43.6319,-79.3716,11
57,3624749586,3227975251,15290,Allstream Corp.,43.5924,-79.7611,395152,CloudPBX,43.6319,-79.3716,435
58,875246285,3227975251,16509,"Amazon.com, Inc.",45.8696,-119.68799999999999,395152,CloudPBX,43.6319,-79.3716,651
59,3478238498,3227975251,852,TELUS Communications Inc.,49.25,-123.1333,395152,CloudPBX,43.6319,-79.3716,198
60,3227975250,3632003165,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.4609,-113.4519,500
61,3227975251,1653560604,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2475,-123.12100000000001,350
62,3091347451,3227975251,6327,Shaw Communications Inc.,48.4765,-123.3145,395152,CloudPBX,43.6319,-79.3716,26
63,3227975251,875246285,395152,CloudPBX,43.6319,-79.3716,16509,"Amazon.com, Inc.",45.8696,-119.68799999999999,1343
64,2728149921,3227975250,852,TELUS Communications Inc.,49.1838,-121.9046,395152,CloudPBX,43.6319,-79.3716,3
65,2914320357,3227975250,852,TELUS Communications Inc.,49.2196,-122.6164,395152,CloudPBX,43.6319,-79.3716,44
66,3227975250,1613813930,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.0997,-122.6526,27
67,3227975250,1674011774,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2667,-122.7833,291
68,1614103491,3227975251,6327,Shaw Communications Inc.,49.0787,-121.6098,395152,CloudPBX,43.6319,-79.3716,330
69,3487077158,3227975251,852,TELUS Communications Inc.,49.2436,-122.7865,395152,CloudPBX,43.6319,-79.3716,53
70,1613813930,3227975250,6327,Shaw Communications Inc.,49.0997,-122.6526,395152,CloudPBX,43.6319,-79.3716,83
71,3227975251,2919755137,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2475,-123.12100000000001,177
72,3463715872,3227975251,852,TELUS Communications Inc.,49.3615,-123.2627,395152,CloudPBX,43.6319,-79.3716,422
73,3463713115,3227975250,852,TELUS Communications Inc.,43.6319,-79.3716,395152,CloudPBX,43.6319,-79.3716,126
74,1090360654,3227975250,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,743
75,3350650146,3227975251,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,1338
76,1090360654,3227975251,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,778
77,3350650150,3227975251,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,407
78,3227975251,3350650146,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2478,-122.9938,1151
79,3227975250,3463713115,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,43.6319,-79.3716,54
80,3227975251,1178985642,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2068,-122.4851,24
81,2919736882,3227975251,6327,Shaw Communications Inc.,49.299,-123.1408,395152,CloudPBX,43.6319,-79.3716,407
82,3473289373,3227975251,852,TELUS Communications Inc.,49.2666,-123.1976,395152,CloudPBX,43.6319,-79.3716,20
83,1674006569,3227975250,852,TELUS Communications Inc.,49.3397,-123.1912,395152,CloudPBX,43.6319,-79.3716,106
84,3227975250,2919736882,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.299,-123.1408,233
85,3227975251,1268517701,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2492,-123.1104,389
86,1268517701,3227975251,852,TELUS Communications Inc.,49.2492,-123.1104,395152,CloudPBX,43.6319,-79.3716,331
87,1268517701,3227975250,852,TELUS Communications Inc.,49.2492,-123.1104,395152,CloudPBX,43.6319,-79.3716,315
88,3227975251,1168009517,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.7878,-79.1564,29
89,1090361019,3227975250,19171,Stargate Connections Inc.,49.1707,-122.7326,395152,CloudPBX,43.6319,-79.3716,74
90,1653560604,3227975251,19171,Stargate Connections Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,484
91,3227975251,1674006569,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.3397,-123.1912,35
92,3227975251,1823229904,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2475,-123.12100000000001,301
93,3227975250,1268517701,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2492,-123.1104,341
