,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
111,1654599251,395766,CloudPBX,40.7432,-75.2242,1818172010,7018,"AT&T Services, Inc.",42.5038,-83.4764
775,2393257217,855,Bell Canada,47.5334,-52.7595,1654599251,395766,CloudPBX,40.7432,-75.2242
994,1654599251,395766,CloudPBX,40.7432,-75.2242,417208700,11260,EastLink,45.2,-64.1167
1107,417208700,11260,EastLink,45.2,-64.1167,1654599250,395766,CloudPBX,40.7432,-75.2242
1321,417208698,11260,EastLink,45.2,-64.1167,1654599251,395766,CloudPBX,40.7432,-75.2242
1466,417208698,11260,EastLink,45.2,-64.1167,1654599250,395766,CloudPBX,40.7432,-75.2242
1467,1654599250,395766,CloudPBX,40.7432,-75.2242,417208698,11260,EastLink,45.2,-64.1167
1607,417208700,11260,EastLink,45.2,-64.1167,1654599251,395766,CloudPBX,40.7432,-75.2242
1701,1654599251,395766,CloudPBX,40.7432,-75.2242,417208698,11260,EastLink,45.2,-64.1167
1749,1676539840,812,Rogers Communications Canada Inc.,47.6333,-52.85,1654599250,395766,CloudPBX,40.7432,-75.2242
1768,3514832870,855,Bell Canada,47.5167,-52.7833,1654599251,395766,CloudPBX,40.7432,-75.2242
1855,1654599251,395766,CloudPBX,40.7432,-75.2242,2393257259,855,Bell Canada,47.5334,-52.7595
1878,2904576785,812,Rogers Communications Canada Inc.,47.5986,-52.6926,1654599250,395766,CloudPBX,40.7432,-75.2242
1937,1654599251,395766,CloudPBX,40.7432,-75.2242,2904575889,812,Rogers Communications Canada Inc.,47.5986,-52.6926
1941,2393990862,855,Bell Canada,47.5124,-52.6729,1654599251,395766,CloudPBX,40.7432,-75.2242
1942,1654599251,395766,CloudPBX,40.7432,-75.2242,2393990862,855,Bell Canada,47.5124,-52.6729
1947,1676535575,812,Rogers Communications Canada Inc.,47.5986,-52.6926,1654599251,395766,CloudPBX,40.7432,-75.2242
1979,3638379076,7992,Cogeco Cable,42.9888,-82.3592,1654599251,395766,CloudPBX,40.7432,-75.2242
2023,1676535575,812,Rogers Communications Canada Inc.,47.5986,-52.6926,1654599250,395766,CloudPBX,40.7432,-75.2242
2034,2393257259,855,Bell Canada,47.5334,-52.7595,1654599250,395766,CloudPBX,40.7432,-75.2242
2076,2393257259,855,Bell Canada,47.5334,-52.7595,1654599251,395766,CloudPBX,40.7432,-75.2242
2080,2393277605,855,Bell Canada,45.2308,-66.0953,1654599251,395766,CloudPBX,40.7432,-75.2242
2105,2393990862,855,Bell Canada,47.5124,-52.6729,1654599250,395766,CloudPBX,40.7432,-75.2242
2106,1654599250,395766,CloudPBX,40.7432,-75.2242,2393990862,855,Bell Canada,47.5124,-52.6729
2120,3514832870,855,Bell Canada,47.5167,-52.7833,1654599250,395766,CloudPBX,40.7432,-75.2242
2134,1654599250,395766,CloudPBX,40.7432,-75.2242,1599332522,13280,Three Ireland (Hutchison) limited,53.3331,-6.2489
2199,2393314675,855,Bell Canada,47.5194,-52.8122,1654599250,395766,CloudPBX,40.7432,-75.2242
2231,2904576785,812,Rogers Communications Canada Inc.,47.5986,-52.6926,1654599251,395766,CloudPBX,40.7432,-75.2242
2319,1654599250,395766,CloudPBX,40.7432,-75.2242,1676539840,812,Rogers Communications Canada Inc.,47.6333,-52.85
2399,1654599251,395766,CloudPBX,40.7432,-75.2242,3507478250,13768,Cogeco Peer 1,43.6021,-79.5402
2429,1654599250,395766,CloudPBX,40.7432,-75.2242,417208700,11260,EastLink,45.2,-64.1167
2431,1654599250,395766,CloudPBX,40.7432,-75.2242,3507478250,13768,Cogeco Peer 1,43.6021,-79.5402
2479,1654599250,395766,CloudPBX,40.7432,-75.2242,1676840295,812,Rogers Communications Canada Inc.,48.9682,-54.5906
2562,1676539840,812,Rogers Communications Canada Inc.,47.6333,-52.85,1654599251,395766,CloudPBX,40.7432,-75.2242
2563,1654599251,395766,CloudPBX,40.7432,-75.2242,1676539840,812,Rogers Communications Canada Inc.,47.6333,-52.85
2642,3514831954,855,Bell Canada,47.5167,-52.7833,1654599250,395766,CloudPBX,40.7432,-75.2242
2707,2394021867,855,Bell Canada,45.0691,-64.4696,1654599251,395766,CloudPBX,40.7432,-75.2242
2773,3514831954,855,Bell Canada,47.5167,-52.7833,1654599251,395766,CloudPBX,40.7432,-75.2242
2833,3626900266,11478,Openface Inc.,45.47,-73.6686,1654599250,395766,CloudPBX,40.7432,-75.2242
