,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
1,395152,CloudPBX,43.6319,-79.3716,40029,Novus Entertainment Inc.,49.2788,-123.1139
2,6327,Shaw Communications Inc.,49.1889,-122.873,395152,CloudPBX,43.6319,-79.3716
9,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.8928,-119.4852
10,852,TELUS Communications Inc.,49.2475,-123.121,395152,CloudPBX,43.6319,-79.3716
14,395152,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167
19,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,395152,CloudPBX,43.6319,-79.3716
20,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716
22,16509,"Amazon.com, Inc.",45.8696,-119.688,395152,CloudPBX,43.6319,-79.3716
26,7018,"AT&T Services, Inc.",37.751,-97.822,393755,CloudPBX,43.6319,-79.3716
29,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2436,-122.7865
38,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.2788,-123.1139
44,395152,CloudPBX,43.6319,-79.3716,54527,Astute Hosting Inc.,49.2866,-123.1158
51,393755,CloudPBX,43.6319,-79.3716,577,Bell Canada,44.3572,-79.6929
55,14007,Skyway West,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716
57,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,393755,CloudPBX,43.6319,-79.3716
60,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2475,-123.121
65,19171,Stargate Connections Inc.,49.2767,-123.13,395152,CloudPBX,43.6319,-79.3716
70,6327,Shaw Communications Inc.,49.316,-123.0576,395152,CloudPBX,43.6319,-79.3716
71,19171,Stargate Connections Inc.,49.2795,-123.0667,395152,CloudPBX,43.6319,-79.3716
88,19171,Stargate Connections Inc.,49.1707,-122.7326,395152,CloudPBX,43.6319,-79.3716
94,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716
111,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",42.5038,-83.4764
117,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.4609,-113.4519
120,577,Bell Canada,43.7878,-79.1564,395152,CloudPBX,43.6319,-79.3716
132,6327,Shaw Communications Inc.,49.299,-123.1408,395152,CloudPBX,43.6319,-79.3716
146,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.55,-113.5
149,852,TELUS Communications Inc.,49.2667,-122.7833,395152,CloudPBX,43.6319,-79.3716
166,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.7878,-79.1564
173,852,TELUS Communications Inc.,49.2646,-123.1648,395152,CloudPBX,43.6319,-79.3716
184,22652,Fibrenoire Inc.,44.25,-80.55,393755,CloudPBX,43.6319,-79.3716
194,393755,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167
198,6327,Shaw Communications Inc.,49.0787,-121.6098,395152,CloudPBX,43.6319,-79.3716
212,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2327,-123.0917
214,22652,Fibrenoire Inc.,43.6564,-79.386,393755,CloudPBX,43.6319,-79.3716
235,19171,Stargate Connections Inc.,49.2666,-123.1976,395152,CloudPBX,43.6319,-79.3716
236,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2666,-123.1976
238,40029,Novus Entertainment Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716
263,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,44.25,-80.55
265,852,TELUS Communications Inc.,49.3615,-123.2627,395152,CloudPBX,43.6319,-79.3716
272,19171,Stargate Connections Inc.,49.2475,-123.121,395152,CloudPBX,43.6319,-79.3716
273,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2475,-123.121
292,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2866,-123.1158
307,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,43.6564,-79.386
364,395152,CloudPBX,43.6319,-79.3716,16509,"Amazon.com, Inc.",45.8696,-119.688
370,6327,Shaw Communications Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716
383,6327,Shaw Communications Inc.,49.0997,-122.6526,395152,CloudPBX,43.6319,-79.3716
387,852,TELUS Communications Inc.,43.6319,-79.3716,395152,CloudPBX,43.6319,-79.3716
405,6327,Shaw Communications Inc.,49.17,-123.1368,395152,CloudPBX,43.6319,-79.3716
412,15290,Allstream Corp.,43.5924,-79.7611,395152,CloudPBX,43.6319,-79.3716
435,852,TELUS Communications Inc.,49.25,-123.1333,395152,CloudPBX,43.6319,-79.3716
493,6327,Shaw Communications Inc.,48.4765,-123.3145,395152,CloudPBX,43.6319,-79.3716
524,852,TELUS Communications Inc.,49.1838,-121.9046,395152,CloudPBX,43.6319,-79.3716
532,852,TELUS Communications Inc.,49.2196,-122.6164,395152,CloudPBX,43.6319,-79.3716
553,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.0997,-122.6526
565,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2667,-122.7833
576,852,TELUS Communications Inc.,49.2436,-122.7865,395152,CloudPBX,43.6319,-79.3716
601,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2475,-123.121
677,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2478,-122.9938
687,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,43.6319,-79.3716
766,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2068,-122.4851
775,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242
810,852,TELUS Communications Inc.,49.2666,-123.1976,395152,CloudPBX,43.6319,-79.3716
880,852,TELUS Communications Inc.,49.3397,-123.1912,395152,CloudPBX,43.6319,-79.3716
899,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.299,-123.1408
958,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",42.586,-83.5006
961,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2492,-123.1104
994,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167
