,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
26,215430723,7018,"AT&T Services, Inc.",37.751,-97.822,3227975487,393755,CloudPBX,43.6319,-79.3716
51,3227975506,393755,CloudPBX,43.6319,-79.3716,1279424612,577,Bell Canada,44.3572,-79.6929
57,3330677851,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,3227975506,393755,CloudPBX,43.6319,-79.3716
184,1176754522,22652,Fibrenoire Inc.,44.25,-80.55,3227975507,393755,CloudPBX,43.6319,-79.3716
192,3330677851,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,3227975507,393755,CloudPBX,43.6319,-79.3716
194,3227975507,393755,CloudPBX,43.6319,-79.3716,3330677851,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167
214,3349638548,22652,Fibrenoire Inc.,43.6564,-79.386,3227975507,393755,CloudPBX,43.6319,-79.3716
249,1176754522,22652,Fibrenoire Inc.,44.25,-80.55,3227975506,393755,CloudPBX,43.6319,-79.3716
263,3227975507,393755,CloudPBX,43.6319,-79.3716,1176754522,22652,Fibrenoire Inc.,44.25,-80.55
307,3227975506,393755,CloudPBX,43.6319,-79.3716,3349638548,22652,Fibrenoire Inc.,43.6564,-79.386
310,3349638548,22652,Fibrenoire Inc.,43.6564,-79.386,3227975506,393755,CloudPBX,43.6319,-79.3716
468,3349638557,22652,Fibrenoire Inc.,43.6564,-79.386,3227975506,393755,CloudPBX,43.6319,-79.3716
958,3227975506,393755,CloudPBX,43.6319,-79.3716,1664327376,7018,"AT&T Services, Inc.",42.586,-83.5006
1157,3227975507,393755,CloudPBX,43.6319,-79.3716,1090361019,19171,Stargate Connections Inc.,49.1707,-122.7326
1220,755176634,40788,Start Communications,43.5148,-79.884,3227975506,393755,CloudPBX,43.6319,-79.3716
1228,3227975506,393755,CloudPBX,43.6319,-79.3716,755176634,40788,Start Communications,43.5148,-79.884
1236,3227975507,393755,CloudPBX,43.6319,-79.3716,755176634,40788,Start Communications,43.5148,-79.884
1262,755176634,40788,Start Communications,43.5148,-79.884,3227975507,393755,CloudPBX,43.6319,-79.3716
1266,1217120081,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,3227975507,393755,CloudPBX,43.6319,-79.3716
1279,1085557588,852,TELUS Communications Inc.,48.4993,-123.4003,3227975506,393755,CloudPBX,43.6319,-79.3716
1314,3227975507,393755,CloudPBX,43.6319,-79.3716,3475127854,6171,WorldGate,53.55,-113.5
1353,3517667510,852,TELUS Communications Inc.,43.6655,-79.4204,3227975506,393755,CloudPBX,43.6319,-79.3716
1427,1210486946,7992,Cogeco Cable,43.6319,-79.3716,3227975507,393755,CloudPBX,43.6319,-79.3716
1437,3227975506,393755,CloudPBX,43.6319,-79.3716,1186483740,22773,Cox Communications Inc.,32.2541,-110.8785
1472,405976275,40788,Start Communications,43.2271,-79.871,3227975507,393755,CloudPBX,43.6319,-79.3716
1500,1217120081,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,3227975506,393755,CloudPBX,43.6319,-79.3716
1512,3227975507,393755,CloudPBX,43.6319,-79.3716,755172978,40788,Start Communications,43.4881,-79.7098
1520,3227975506,393755,CloudPBX,43.6319,-79.3716,755172978,40788,Start Communications,43.4881,-79.7098
1558,3227975507,393755,CloudPBX,43.6319,-79.3716,405976275,40788,Start Communications,43.2271,-79.871
1581,3227975507,393755,CloudPBX,43.6319,-79.3716,846445562,7992,Cogeco Cable,42.9578,-82.2777
1583,846445562,7992,Cogeco Cable,42.9578,-82.2777,3227975506,393755,CloudPBX,43.6319,-79.3716
1589,755172978,40788,Start Communications,43.4881,-79.7098,3227975506,393755,CloudPBX,43.6319,-79.3716
1591,3227975506,393755,CloudPBX,43.6319,-79.3716,755178755,40788,Start Communications,43.0147,-81.3049
1623,405976275,40788,Start Communications,43.2271,-79.871,3227975506,393755,CloudPBX,43.6319,-79.3716
