,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
1,3227975250,395152,CloudPBX,43.6319,-79.3716,1176778026,40029,Novus Entertainment Inc.,49.2788,-123.1139
2,1614226523,6327,Shaw Communications Inc.,49.1889,-122.873,3227975250,395152,CloudPBX,43.6319,-79.3716
9,3227975251,395152,CloudPBX,43.6319,-79.3716,1268628388,852,TELUS Communications Inc.,49.8928,-119.4852
10,1268497742,852,TELUS Communications Inc.,49.2475,-123.121,3227975250,395152,CloudPBX,43.6319,-79.3716
14,3227975250,395152,CloudPBX,43.6319,-79.3716,3330677851,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167
19,3330677851,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,3227975250,395152,CloudPBX,43.6319,-79.3716
20,3350650146,19171,Stargate Connections Inc.,49.2478,-122.9938,3227975250,395152,CloudPBX,43.6319,-79.3716
22,875246285,16509,"Amazon.com, Inc.",45.8696,-119.688,3227975250,395152,CloudPBX,43.6319,-79.3716
29,3227975250,395152,CloudPBX,43.6319,-79.3716,3091469318,6327,Shaw Communications Inc.,49.2436,-122.7865
30,1268497742,852,TELUS Communications Inc.,49.2475,-123.121,3227975251,395152,CloudPBX,43.6319,-79.3716
38,3227975251,395152,CloudPBX,43.6319,-79.3716,3640363090,14007,Skyway West,49.2788,-123.1139
44,3227975251,395152,CloudPBX,43.6319,-79.3716,2731908580,54527,Astute Hosting Inc.,49.2866,-123.1158
55,3640363090,14007,Skyway West,49.2788,-123.1139,3227975251,395152,CloudPBX,43.6319,-79.3716
60,3227975250,395152,CloudPBX,43.6319,-79.3716,1823229904,852,TELUS Communications Inc.,49.2475,-123.121
65,1653563098,19171,Stargate Connections Inc.,49.2767,-123.13,3227975251,395152,CloudPBX,43.6319,-79.3716
69,1268498338,852,TELUS Communications Inc.,49.2475,-123.121,3227975250,395152,CloudPBX,43.6319,-79.3716
70,843371666,6327,Shaw Communications Inc.,49.316,-123.0576,3227975250,395152,CloudPBX,43.6319,-79.3716
