"calldate_first","calldate_last","INET_NTOA(sipcallerip)","calls_qty_per_ip","connect_duration_minutes"
"2018-01-01 00:02:23","2018-05-31 19:32:01","208.89.129.46",1440309,3318329.0000
"2018-01-01 00:26:24","2018-05-31 19:30:22","68.68.119.104",484084,2152326.1500
"2018-01-01 00:13:42","2018-05-31 19:32:02","192.102.255.83",599173,1368573.0333
"2018-01-01 00:03:06","2018-05-31 19:31:22","192.102.255.82",593560,1352792.8333
"2018-01-01 00:02:33","2018-05-31 19:30:52","192.102.254.82",376310,1224827.2667
"2018-01-01 00:00:55","2018-05-31 19:31:11","192.102.254.83",369211,1210859.4667
"2018-01-02 14:39:08","2018-05-31 19:30:50","192.102.255.80",417759,910880.7000
"2018-01-10 20:26:17","2018-05-30 16:53:37","192.102.255.60",132059,580084.0167
"2018-01-01 00:33:45","2018-05-31 19:28:33","192.102.255.63",143958,483030.1667
"2018-01-01 00:42:24","2018-05-31 19:30:08","192.102.255.62",137332,462621.4500
"2018-01-01 00:02:24","2018-05-31 19:28:24","192.102.254.80",99420,334510.6333
"2018-01-01 00:03:39","2018-05-31 19:30:54","98.159.46.83",124114,279508.2833
"2018-01-02 14:00:07","2018-04-30 23:27:03","50.207.96.162",241338,276281.2000
"2018-01-01 00:10:37","2018-05-31 19:31:36","98.159.46.82",111275,259757.4667
"2018-01-02 14:42:10","2018-05-31 18:03:31","192.102.255.81",81847,221251.1000
"2018-01-01 00:23:25","2018-05-31 19:27:14","208.68.17.52",86070,206363.1833
"2018-01-02 15:24:51","2018-05-31 19:30:53","192.102.255.72",70922,180505.8667
"2018-01-02 18:03:44","2018-05-31 19:28:54","205.205.36.93",41631,178940.2667
"2018-01-01 18:54:41","2018-05-31 17:11:49","192.102.254.81",72188,163594.3833
"2018-01-01 00:08:51","2018-05-31 19:27:47","192.76.120.10",33619,137158.5000
"2018-01-02 12:59:47","2018-05-31 19:30:09","199.101.72.48",66746,125576.0500
"2018-01-02 17:52:50","2018-05-30 18:03:01","192.102.255.61",73894,122977.8167
"2018-01-01 00:07:54","2018-05-31 19:27:06","68.68.117.61",66900,112907.4333
"2018-01-01 00:42:24","2018-05-31 19:31:22","68.68.119.98",66478,110059.4000
"2018-01-02 11:58:35","2018-05-31 19:09:50","209.15.238.71",33541,106835.6000
"2018-01-02 12:41:51","2018-05-31 19:31:19","72.38.111.26",72787,105457.0833
"2018-01-01 01:59:55","2018-05-31 19:29:45","206.80.250.100",29985,97895.8500
"2018-01-01 00:51:43","2018-05-31 19:28:17","209.58.101.249",46274,95391.1167
"2018-01-01 03:47:33","2018-05-31 19:30:36","24.222.25.122",45052,71672.7167
"2018-01-02 16:29:35","2018-05-31 19:23:50","64.253.148.142",16781,71045.4333
"2018-01-01 02:37:53","2018-05-31 19:31:38","98.159.46.80",41169,70198.0667
"2018-01-02 16:31:13","2018-05-31 19:27:34","216.13.74.18",7370,66152.3833
"2018-01-02 15:30:06","2018-05-31 19:27:11","64.253.154.147",31235,64017.3667
"2018-01-02 13:25:24","2018-05-31 19:32:00","147.194.187.92",30371,59738.2167
"2018-01-01 00:02:09","2018-03-22 00:02:26","192.102.254.76",21163,59088.2333
"2018-01-02 15:48:50","2018-05-31 19:30:02","216.251.136.82",30844,57846.8833
"2018-04-11 13:56:48","2018-05-31 19:30:54","12.215.54.67",51281,57519.4500
"2018-01-01 18:52:49","2018-05-31 19:24:27","205.205.133.94",21491,55728.6167
"2018-01-01 00:02:34","2018-05-31 19:10:07","205.205.133.93",14884,53040.2000
"2018-01-01 00:00:53","2018-05-31 18:41:33","52.43.50.205",29848,49180.8333
"2018-01-02 13:54:37","2018-05-31 19:22:28","216.251.158.147",14944,47313.7667
"2018-02-01 20:58:48","2018-05-31 19:19:15","199.182.221.34",14880,45025.1667
"2018-01-01 00:39:33","2018-05-31 18:01:36","199.167.109.148",10425,44529.6500
"2018-01-02 16:26:22","2018-05-31 19:10:42","64.253.149.78",10136,43842.5833
"2018-01-11 15:32:41","2018-05-31 19:29:05","209.15.222.237",15871,39215.5833
"2018-01-02 15:06:09","2018-05-31 19:18:47","209.91.86.143",23667,33921.4333
"2018-01-02 01:53:18","2018-05-31 19:30:05","72.38.35.22",15889,33706.4667
"2018-01-02 12:11:58","2018-05-31 18:51:06","209.15.222.231",12539,31116.4500
"2018-01-01 15:55:30","2018-05-31 19:24:11","72.38.112.50",13466,30291.3833
"2018-01-02 12:21:33","2018-05-31 19:04:17","99.237.247.192",16857,29901.2500
"2018-01-02 14:09:44","2018-05-31 19:22:27","104.145.0.6",7974,29680.5833
"2018-01-01 12:07:33","2018-05-31 16:17:39","70.35.217.90",6608,29484.5333
"2018-01-02 17:04:17","2018-05-31 18:17:32","75.155.189.78",6131,29198.9000
"2018-01-01 14:36:55","2018-05-31 19:19:29","104.250.92.150",12341,28912.4833
"2018-01-02 16:29:02","2018-05-31 19:17:25","96.53.67.195",5358,28825.8167
"2018-01-02 12:58:51","2018-05-31 19:23:20","99.244.0.251",10870,27907.9833
"2018-01-01 00:30:59","2018-05-31 19:09:50","46.19.209.14",13014,27680.5833
"2018-01-02 12:51:41","2018-05-31 19:29:23","216.221.66.135",26405,26961.7833
"2018-01-02 16:25:52","2018-05-10 19:16:07","75.155.191.162",11957,26645.9833
"2018-01-02 00:58:59","2018-05-31 19:24:28","184.68.20.6",6884,25912.9167
"2018-01-02 16:20:57","2018-05-31 19:08:24","98.143.85.28",7284,25520.5667
"2018-01-02 13:10:28","2018-04-24 16:08:52","72.38.35.64",12720,24508.8167
"2018-01-02 13:44:50","2018-05-31 19:17:28","24.235.98.5",9010,24184.1333
"2018-01-02 12:33:31","2018-05-31 18:18:55","209.15.238.209",10264,24006.2000
"2018-01-02 14:48:20","2018-03-09 22:04:19","216.251.137.218",6326,23639.3000
"2018-01-02 13:06:35","2018-05-31 19:01:57","45.78.190.22",9889,23625.7500
"2018-01-01 03:47:44","2018-05-31 19:12:15","108.166.172.198",5943,23567.5167
"2018-01-02 15:59:45","2018-05-31 19:21:44","64.253.150.106",9408,23415.5333
"2018-02-02 22:37:31","2018-05-31 19:19:34","198.134.28.91",9666,23368.9333
"2018-01-02 18:57:16","2018-05-31 16:57:24","184.69.203.166",1286,23262.3167
"2018-01-02 15:42:33","2018-05-31 19:03:33","64.253.148.230",5278,23114.4333
"2018-01-01 00:10:22","2018-05-31 16:42:17","148.59.199.154",4109,23052.4000
"2018-01-02 13:33:37","2018-05-31 19:23:53","64.140.118.53",11038,22758.5833
"2018-01-01 23:38:55","2018-05-31 19:18:09","208.118.140.238",14868,22050.2167
"2018-01-01 00:23:33","2018-05-21 12:22:03","76.66.120.100",4374,21717.8167
"2018-02-08 17:57:19","2018-05-31 16:46:24","99.230.202.44",1353,21172.7667
"2018-01-02 15:30:51","2018-05-31 19:13:30","98.143.94.218",5211,20914.0333
"2018-01-01 20:29:55","2018-05-31 19:00:39","98.143.82.203",7668,20654.5333
"2018-01-02 13:11:47","2018-05-31 19:29:15","162.255.112.45",15660,20579.4833
"2018-01-02 13:30:59","2018-05-31 19:29:38","99.243.185.187",6657,19777.4667
"2018-01-02 16:14:40","2018-05-31 19:26:37","206.116.17.91",2139,19750.7000
"2018-01-02 14:54:00","2018-05-31 19:00:42","216.251.156.154",3967,19666.1833
"2018-01-02 14:08:08","2018-05-16 16:21:19","69.166.25.43",6561,19216.9500
"2018-01-02 17:15:55","2018-05-31 18:11:41","207.81.209.56",4884,19119.9500
"2018-01-02 18:14:49","2018-04-06 22:17:39","154.5.98.116",4836,19096.5500
"2018-01-02 16:29:53","2018-05-31 18:35:44","174.7.176.89",6087,18890.8333
"2018-01-02 14:12:03","2018-05-25 21:25:32","99.228.63.64",5242,18632.4000
"2018-01-04 18:00:28","2018-05-31 19:12:01","98.159.46.81",16586,18501.6667
"2018-01-02 15:43:22","2018-05-31 18:01:53","72.38.34.250",4630,18430.3000
"2018-01-02 16:27:34","2018-05-31 19:11:42","184.70.143.10",5666,18396.3500
"2018-01-02 16:27:58","2018-02-01 19:56:23","192.189.38.158",6160,18377.3500
"2018-01-01 02:31:51","2018-05-31 19:23:36","174.7.166.50",6058,18010.7000
"2018-01-02 13:42:39","2018-05-31 18:44:00","172.110.65.210",1357,17946.4333
"2018-02-20 13:06:50","2018-05-31 19:27:36","216.221.68.80",11289,17882.5000
"2018-01-02 12:48:39","2018-05-31 19:15:24","174.116.254.126",6502,17830.0667
"2018-01-02 18:41:40","2018-05-31 19:18:29","207.216.30.56",7278,17770.2167
"2018-02-28 20:02:37","2018-05-31 19:28:27","104.250.93.149",6826,17412.8000
"2018-01-02 12:06:38","2018-05-31 19:27:46","69.172.254.131",7820,17122.7333
"2018-01-04 20:32:21","2018-05-31 18:48:10","209.183.156.34",5321,16600.5833
"2018-01-02 17:02:56","2018-05-31 19:23:46","206.116.28.32",7105,16280.2667
"2018-01-02 12:58:33","2018-05-31 19:29:38","216.221.68.77",8257,16126.5667
"2018-01-02 13:24:33","2018-05-31 19:24:09","216.46.27.42",6414,16040.6500
"2018-01-02 12:28:56","2018-05-31 19:04:57","208.89.130.98",9662,15891.7167
"2018-03-05 13:11:55","2018-05-31 19:29:19","173.179.248.251",5799,15819.3167
"2018-01-02 16:04:14","2018-05-31 18:45:11","208.118.140.139",4578,15121.5667
"2018-01-01 07:07:34","2018-05-31 19:21:36","199.255.157.198",5226,14827.1500
"2018-01-02 13:46:11","2018-05-31 18:57:21","72.38.98.234",5693,14748.6833
"2018-01-02 14:18:07","2018-05-11 20:42:40","135.23.169.104",10734,14539.7167
"2018-01-01 14:53:59","2018-05-31 19:27:06","50.115.187.143",9546,14437.3167
"2018-01-02 18:02:58","2018-05-31 18:59:05","98.143.81.246",4713,14376.9833
"2018-02-01 21:48:18","2018-05-31 19:19:25","199.182.221.38",5035,13817.6333
"2018-01-10 17:30:40","2018-05-31 18:33:05","24.108.53.204",452,13731.3500
"2018-01-02 16:22:49","2018-05-31 18:15:15","184.69.225.238",3136,13180.7833
"2018-01-02 14:15:23","2018-05-31 19:00:18","70.52.126.192",2009,13129.0500
"2018-01-02 12:40:49","2018-05-31 18:28:01","209.15.238.208",2205,13101.8667
"2018-01-01 21:00:41","2018-05-31 19:26:58","216.221.66.68",4522,13064.8000
"2018-01-23 14:38:12","2018-05-31 16:38:50","209.15.238.156",4330,12969.8333
"2018-01-02 16:19:57","2018-05-31 18:42:50","70.36.53.42",3179,12942.2000
"2018-01-02 16:33:02","2018-05-31 19:11:59","99.199.100.126",6655,12476.4167
"2018-01-02 14:04:46","2018-05-31 19:03:01","199.126.242.188",5243,12462.8167
"2018-01-02 17:25:06","2018-05-31 19:15:13","75.156.11.69",5274,12381.6833
"2018-01-02 17:42:10","2018-05-31 18:26:43","184.71.155.78",2174,12214.4000
"2018-01-02 14:18:21","2018-05-31 19:24:57","99.226.179.169",1842,12030.6000
"2018-01-02 17:00:25","2018-05-31 19:05:05","207.216.134.165",2642,11997.0333
"2018-01-02 18:25:38","2018-05-31 19:08:44","207.81.181.34",2421,11842.5667
"2018-01-03 13:54:55","2018-05-31 19:13:47","69.166.25.68",4705,11656.0500
"2018-01-02 15:15:23","2018-05-31 19:23:54","174.1.117.28",1507,11580.5667
"2018-01-02 19:56:20","2018-05-31 18:12:50","108.172.71.208",2976,11506.8500
"2018-01-02 17:17:28","2018-05-31 18:29:34","184.67.252.174",1760,11363.9833
"2018-01-02 13:42:13","2018-05-31 18:35:22","72.38.144.162",2538,11126.4333
"2018-01-02 13:00:04","2018-05-31 14:09:47","209.15.238.163",2362,10882.8167
"2018-01-02 14:14:31","2018-05-31 19:01:30","184.70.188.14",1947,10874.2333
"2018-03-08 14:21:55","2018-05-31 19:31:36","209.15.238.176",2725,10863.4333
"2018-03-27 15:47:13","2018-05-31 19:30:09","99.239.65.60",4559,10737.7500
"2018-01-02 15:14:59","2018-05-31 19:27:15","216.221.66.42",3187,10501.4000
"2018-01-02 15:02:44","2018-05-31 19:05:48","142.177.223.235",2833,10396.1333
"2018-03-27 19:04:17","2018-05-31 19:30:54","96.95.108.50",5650,10202.1000
"2018-01-01 17:27:00","2018-05-31 19:20:39","198.161.99.70",4735,10145.5000
"2018-03-22 17:25:09","2018-05-31 18:50:38","209.15.238.224",2933,9977.5167
"2018-01-02 18:22:33","2018-05-31 16:26:51","206.116.15.170",2948,9847.1333
"2018-01-02 13:28:04","2018-05-31 19:25:30","24.146.42.223",4518,9824.8167
"2018-01-02 16:49:28","2018-02-23 00:51:37","70.70.24.154",5218,9725.1167
"2018-01-02 19:22:48","2018-05-31 17:47:47","108.172.136.70",874,9604.4167
"2018-01-01 19:18:21","2018-05-31 19:16:42","162.255.114.63",4431,9435.8167
"2018-01-02 18:27:50","2018-05-28 15:34:23","173.231.124.173",909,9298.3500
"2018-01-02 14:58:19","2018-05-31 19:26:06","64.253.154.157",4911,9215.8000
"2018-01-03 15:55:44","2018-05-31 15:59:02","50.64.106.181",333,9183.9833
"2018-01-02 13:06:55","2018-02-16 20:21:13","24.146.56.234",3629,9167.0833
