"MIN(calldate)","MAX(calldate)","INET_NTOA(sipcallerip)","COUNT(sipcallerip)"
"2018-05-01 00:00:11","2018-05-31 19:30:52","192.102.254.82",148772
"2018-05-01 00:00:23","2018-05-31 19:32:00","68.68.117.61",130727
"2018-05-01 00:01:32","2018-05-31 19:32:01","68.68.119.98",126634
"2018-05-01 00:04:13","2018-05-31 19:31:36","192.102.255.80",95625
"2018-05-01 00:00:01","2018-05-31 19:30:56","208.89.129.46",80573
"2018-05-01 00:01:20","2018-05-31 19:30:44","208.89.129.46",80353
"2018-05-01 13:00:29","2018-05-31 19:29:33","192.102.255.60",51597
"2018-05-01 00:05:47","2018-05-31 19:30:54","108.166.172.198",48326
"2018-05-01 00:01:10","2018-05-31 19:30:28","12.215.54.67",43456
"2018-05-01 00:01:04","2018-05-31 19:30:54","68.68.119.104",42677
"2018-05-01 00:00:23","2018-05-31 19:29:15","68.68.117.61",36308
"2018-05-01 00:12:58","2018-05-31 19:31:36","192.102.254.83",36098
"2018-05-01 00:00:47","2018-05-31 19:30:08","192.102.255.63",33493
"2018-05-01 00:44:13","2018-05-31 19:30:53","208.89.129.46",32756
"2018-05-01 00:07:39","2018-05-31 19:20:24","208.89.129.46",29505
"2018-05-01 00:01:04","2018-05-31 15:23:35","68.68.119.104",25832
"2018-05-01 00:12:51","2018-05-31 19:32:02","192.102.255.83",23604
"2018-05-01 02:28:02","2018-05-31 19:29:47","192.102.255.83",19933
"2018-05-01 00:01:10","2018-05-30 15:12:37","12.215.54.67",15014
"2018-05-01 09:26:47","2018-05-31 19:27:51","192.102.255.83",12106
"2018-05-01 10:51:44","2018-05-31 19:28:58","98.159.46.82",9577
"2018-05-01 11:13:37","2018-05-31 19:31:21","192.102.255.80",8055
"2018-05-01 10:51:10","2018-05-31 19:14:11","192.102.255.83",7193
"2018-05-01 00:01:37","2018-05-31 19:27:23","192.102.254.83",6893
"2018-05-01 11:06:17","2018-05-31 19:30:53","192.102.255.82",6795
"2018-05-01 11:57:45","2018-05-31 19:30:10","192.102.254.82",6355
"2018-05-01 05:19:20","2018-05-31 19:14:14","98.159.46.82",5355
"2018-05-01 00:44:14","2018-05-31 19:30:34","98.159.46.82",4670
"2018-05-01 10:59:33","2018-05-31 19:20:47","192.102.255.83",4499
"2018-05-01 00:01:35","2018-05-31 19:20:53","192.102.255.82",3867
"2018-05-01 12:00:55","2018-05-31 19:30:52","192.102.255.83",3596
"2018-05-01 00:14:26","2018-05-31 19:29:03","192.102.254.82",3568
"2018-05-01 00:04:23","2018-05-31 19:27:26","192.102.254.83",3311
"2018-05-01 12:12:42","2018-05-31 19:30:21","192.102.255.83",2715
"2018-05-01 11:25:21","2018-05-31 19:04:28","98.159.46.82",2677
"2018-05-01 00:24:07","2018-05-31 19:26:45","192.102.254.82",2666
"2018-05-01 15:29:14","2018-05-31 19:30:54","192.102.255.80",2650
"2018-05-01 00:07:40","2018-05-31 19:08:04","192.102.255.82",2650
"2018-05-01 00:59:59","2018-05-31 19:17:25","192.102.254.83",2298
"2018-05-01 12:21:14","2018-05-31 19:29:38","192.102.255.80",2289
"2018-05-01 11:24:01","2018-05-31 19:21:54","192.102.255.83",2259
"2018-05-01 13:04:14","2018-05-31 19:30:05","192.102.255.80",2256
"2018-05-01 11:30:13","2018-05-31 19:21:33","192.102.255.80",2251
"2018-05-01 10:46:37","2018-05-31 19:10:24","192.102.255.81",2201
"2018-05-01 11:22:34","2018-05-31 19:15:53","192.102.255.82",2007
"2018-05-01 12:06:25","2018-05-31 19:29:46","192.102.255.80",2004
"2018-05-01 02:26:48","2018-05-31 19:19:46","98.159.46.83",1963
"2018-05-01 11:54:46","2018-05-31 18:53:00","192.102.255.80",1954
"2018-05-01 11:28:15","2018-05-31 19:23:56","98.159.46.83",1812
"2018-05-01 11:54:57","2018-05-31 19:28:18","192.102.255.82",1809
"2018-05-01 12:30:02","2018-05-31 19:02:42","192.102.255.80",1804
"2018-05-01 15:22:06","2018-05-31 19:23:40","192.102.254.82",1798
"2018-05-01 11:45:54","2018-05-31 19:27:50","192.102.255.82",1767
"2018-05-01 12:27:21","2018-05-31 19:28:18","192.102.255.80",1753
"2018-05-01 13:37:34","2018-05-31 19:25:23","192.102.255.83",1722
"2018-05-01 13:17:08","2018-05-31 19:28:00","192.102.254.82",1626
"2018-05-01 14:35:55","2018-05-31 19:26:29","192.102.254.82",1589
"2018-05-04 20:11:30","2018-05-31 18:56:09","192.102.255.82",1587
"2018-05-01 12:35:18","2018-05-31 19:29:54","192.102.255.80",1542
"2018-05-01 12:43:30","2018-05-31 19:16:58","192.102.255.80",1464
"2018-05-01 12:16:01","2018-05-31 19:22:59","192.102.255.83",1407
"2018-05-01 14:51:40","2018-05-31 19:29:36","192.102.254.83",1369
"2018-05-01 13:12:30","2018-05-31 19:19:42","192.102.254.83",1356
"2018-05-01 00:00:03","2018-05-31 19:06:37","192.102.254.82",1351
"2018-05-01 13:10:02","2018-05-31 19:26:19","192.102.255.83",1348
"2018-05-01 12:04:15","2018-05-31 19:13:38","192.102.255.83",1317
"2018-05-01 10:46:40","2018-05-31 18:53:23","98.159.46.83",1312
"2018-05-01 12:42:38","2018-05-31 19:31:22","192.102.255.80",1285
"2018-05-01 13:29:15","2018-05-31 19:05:07","192.102.255.80",1285
"2018-05-01 11:30:06","2018-05-31 19:28:17","192.102.255.83",1284
"2018-05-01 12:59:44","2018-05-31 18:52:07","192.102.255.80",1218
"2018-05-01 03:10:24","2018-05-18 22:12:34","206.80.250.100",1183
"2018-05-01 00:01:49","2018-05-31 19:05:55","192.102.254.83",1165
"2018-05-01 13:23:45","2018-05-31 19:27:03","192.102.255.82",1146
"2018-05-01 12:00:12","2018-05-31 19:06:16","192.102.255.82",1145
"2018-05-01 13:03:44","2018-05-31 19:18:56","192.102.255.80",1118
"2018-05-01 00:10:59","2018-05-31 19:19:36","192.102.255.83",1114
"2018-05-01 11:04:39","2018-05-31 18:24:06","192.102.255.83",1096
"2018-05-01 13:09:55","2018-05-31 19:10:31","192.102.255.81",1079
"2018-05-01 12:22:03","2018-05-31 18:30:47","192.102.255.83",1074
"2018-05-01 00:17:47","2018-05-31 19:22:55","192.102.254.82",1068
"2018-05-01 00:01:17","2018-05-31 19:25:50","192.102.254.82",1046
"2018-05-01 12:18:38","2018-05-31 16:49:21","192.102.255.82",1042
"2018-05-01 11:29:42","2018-05-31 19:29:52","98.159.46.83",1012
"2018-05-01 11:28:40","2018-05-31 19:13:00","192.102.255.83",1002
"2018-05-01 12:13:36","2018-05-31 19:31:15","192.102.255.83",997
"2018-05-01 00:06:11","2018-05-31 19:10:53","192.102.254.83",992
"2018-05-01 09:37:44","2018-05-31 18:49:13","98.159.46.82",961
"2018-05-01 12:13:24","2018-05-31 18:31:07","192.102.255.80",952
"2018-05-01 11:31:05","2018-05-31 18:26:38","192.102.255.82",914
"2018-05-01 00:15:55","2018-05-31 16:51:54","192.102.255.83",901
"2018-05-01 13:43:19","2018-05-31 19:31:11","192.102.254.82",881
"2018-05-01 11:15:23","2018-05-31 18:58:26","98.159.46.83",866
"2018-05-15 13:07:20","2018-05-31 19:28:10","192.102.255.82",863
"2018-05-01 12:11:24","2018-05-31 18:28:02","192.102.255.82",862
"2018-05-01 00:19:17","2018-05-31 19:03:16","192.102.255.82",853
"2018-05-01 12:29:34","2018-05-11 21:19:17","192.102.255.80",843
"2018-05-01 01:40:45","2018-05-31 17:31:55","192.102.255.83",843
"2018-05-04 19:33:37","2018-05-31 18:55:46","192.102.255.82",834
"2018-05-07 13:28:10","2018-05-11 20:53:59","192.102.255.82",820
"2018-05-01 13:47:54","2018-05-31 19:29:52","192.102.254.82",788
"2018-05-01 16:26:33","2018-05-31 19:09:07","192.102.254.83",784
"2018-05-07 12:43:40","2018-05-31 18:43:27","192.102.255.80",781
"2018-05-01 09:33:08","2018-05-31 19:06:24","192.102.255.82",779
"2018-05-01 01:05:58","2018-05-31 18:35:11","192.102.255.82",767
"2018-05-01 13:57:31","2018-05-31 18:38:32","192.102.255.82",756
"2018-05-01 13:31:43","2018-05-16 17:05:26","192.102.255.80",746
"2018-05-01 21:32:11","2018-05-31 18:49:57","192.102.254.82",745
"2018-05-01 00:16:35","2018-05-31 19:15:36","192.102.254.82",730
"2018-05-01 01:46:02","2018-05-31 19:28:47","192.102.254.83",730
"2018-05-01 16:14:24","2018-05-31 18:44:33","192.102.254.83",726
"2018-05-01 12:22:26","2018-05-31 19:06:39","192.102.255.80",726
"2018-05-01 13:05:09","2018-05-31 19:23:51","192.102.254.82",724
"2018-05-01 12:19:41","2018-05-31 19:23:53","192.102.255.82",722
"2018-05-01 00:30:20","2018-05-31 18:50:52","192.102.255.82",718
"2018-05-01 13:11:58","2018-05-31 19:00:37","192.102.255.80",717
"2018-05-03 16:13:04","2018-05-31 19:30:18","192.102.255.83",709
"2018-05-01 11:24:23","2018-05-31 19:04:22","192.102.255.82",705
"2018-05-01 12:32:49","2018-05-31 19:07:50","192.102.255.82",697
"2018-05-01 14:38:06","2018-05-31 18:02:14","192.102.255.82",678
"2018-05-01 15:30:21","2018-05-31 18:41:54","192.102.254.82",671
"2018-05-01 11:53:26","2018-05-31 18:20:57","192.102.255.82",664
"2018-05-01 13:05:28","2018-05-31 18:11:39","192.102.255.82",638
"2018-05-01 10:54:00","2018-05-31 18:32:18","98.159.46.83",633
"2018-05-01 15:25:16","2018-05-31 19:23:53","192.102.254.83",629
"2018-05-01 00:45:42","2018-05-31 18:58:51","192.102.254.82",627
"2018-05-01 12:44:00","2018-05-31 19:22:47","192.102.255.82",626
"2018-05-01 13:11:08","2018-05-04 20:05:39","192.102.255.80",620
"2018-05-01 00:02:29","2018-05-31 17:56:40","192.102.254.82",609
"2018-05-10 13:02:31","2018-05-31 18:49:44","192.102.255.81",607
"2018-05-01 13:54:06","2018-05-31 19:06:25","192.102.254.83",599
"2018-05-05 15:16:45","2018-05-31 19:24:51","192.102.255.83",588
"2018-05-01 15:13:53","2018-05-31 19:00:09","192.102.254.83",582
"2018-05-01 17:29:14","2018-05-31 19:00:41","192.102.254.82",579
"2018-05-02 14:46:48","2018-05-31 19:07:10","192.102.255.83",577
"2018-05-01 01:49:21","2018-05-31 17:32:09","98.159.46.83",569
"2018-05-01 14:33:51","2018-05-31 19:25:11","192.102.255.82",566
"2018-05-01 13:05:14","2018-05-31 18:44:11","192.102.255.83",553
"2018-05-01 13:04:19","2018-05-31 19:08:01","192.102.255.80",548
"2018-05-12 19:21:26","2018-05-31 19:25:08","192.102.255.83",546
"2018-05-01 13:03:27","2018-05-31 18:16:24","192.102.255.82",538
"2018-05-01 11:56:51","2018-05-31 19:23:22","192.102.255.80",537
"2018-05-01 11:44:35","2018-05-31 19:02:51","98.159.46.80",534
"2018-05-01 13:30:05","2018-05-31 17:24:25","192.102.255.80",533
"2018-05-01 12:59:26","2018-05-31 18:22:47","192.102.255.80",523
"2018-05-01 11:59:39","2018-05-31 19:29:07","192.102.255.83",523
"2018-05-01 13:27:08","2018-05-31 19:28:28","192.102.255.82",514
"2018-05-01 16:13:34","2018-05-31 16:54:52","192.102.255.83",502
"2018-05-01 11:29:19","2018-05-31 18:08:42","192.102.255.83",489
"2018-05-01 16:03:55","2018-05-31 19:02:26","192.102.254.83",487
"2018-05-01 11:00:04","2018-05-22 13:32:12","98.159.46.83",484
"2018-05-01 11:39:12","2018-05-31 18:32:24","98.159.46.82",475
"2018-05-01 12:37:40","2018-05-31 17:12:53","192.102.255.83",472
"2018-05-01 15:57:14","2018-05-31 19:04:24","192.102.254.83",462
"2018-05-01 04:07:48","2018-05-31 18:55:09","192.102.255.82",462
"2018-05-01 12:13:13","2018-05-31 18:30:02","98.159.46.83",461
"2018-05-01 09:29:58","2018-05-31 18:10:29","192.102.255.82",459
"2018-05-01 10:04:25","2018-05-31 19:06:10","192.102.255.83",452
"2018-05-01 16:33:51","2018-05-31 12:13:43","192.102.255.81",449
"2018-05-01 01:39:18","2018-05-31 19:05:16","192.102.254.82",447
"2018-05-01 01:01:10","2018-05-31 07:51:43","192.102.254.82",444
"2018-05-01 14:00:47","2018-05-31 19:15:32","192.102.255.83",441
"2018-05-01 15:13:52","2018-05-31 19:00:47","192.102.254.82",438
"2018-05-01 11:38:58","2018-05-31 18:40:16","192.102.255.83",432
"2018-05-01 16:10:47","2018-05-31 19:25:52","192.102.254.82",429
"2018-05-05 08:31:19","2018-05-31 18:52:32","192.102.255.80",428
"2018-05-07 09:59:28","2018-05-11 20:06:39","192.102.255.83",418
"2018-05-01 11:01:10","2018-05-31 19:19:44","192.102.255.82",414
"2018-05-01 14:00:42","2018-05-31 19:11:55","192.102.255.80",414
"2018-05-01 13:25:43","2018-05-31 17:28:54","192.102.255.83",410
"2018-05-01 13:57:01","2018-05-31 19:07:34","192.102.255.80",409
"2018-05-01 15:05:55","2018-05-31 19:28:27","192.102.254.83",403
"2018-05-01 00:12:36","2018-05-31 19:07:02","192.102.254.83",403
"2018-05-07 09:28:07","2018-05-31 17:27:43","192.102.255.80",402
"2018-05-04 13:01:35","2018-05-30 15:43:50","192.102.255.83",398
"2018-05-09 16:24:36","2018-05-31 18:53:22","192.102.254.83",395
"2018-05-01 11:32:59","2018-05-31 19:17:13","98.159.46.82",390
"2018-05-01 14:13:52","2018-05-31 19:26:16","192.102.255.80",388
"2018-05-01 15:10:01","2018-05-31 18:05:47","192.102.254.82",387
"2018-05-01 13:37:03","2018-05-31 18:24:57","192.102.255.83",386
"2018-05-14 10:25:05","2018-05-22 20:34:51","192.102.255.80",385
"2018-05-01 11:03:13","2018-05-31 18:31:46","192.102.255.83",384
"2018-05-01 16:25:28","2018-05-31 18:09:40","192.102.254.82",379
"2018-05-01 13:20:25","2018-05-31 19:13:49","192.102.255.80",379
