id	ua
3	
3802	!
3684	'-=-'
3497	'or''='
311	(Very nice Sip Registrar/Proxy Server)
3777	+
3537	++
3782	1
2648	205
2	2600hz
362	3CXPhone 6.0.26523.0
536	3CXPhoneSystem 12.0.36097.670 (34969)
572	3CXPhoneSystem 12.0.37098.738 (34969)
573	3CXPhoneSystem 12.0.41311.996 (34969)
55	3CXPhoneSystem 12.5.39117.982 (38810)
545	3CXPhoneSystem 12.5.41543.997 (38810)
574	3CXPhoneSystem 12.5.42341.999 (40218)
946	3CXPhoneSystem 12.5.43078.1002 (38810)
721	3CXPhoneSystem 12.5.44178.1002 (38810)
729	3CXPhoneSystem 12.5.44178.1002 (40218)
688	3CXPhoneSystem 14.0.43795.491 (43785)
952	3CXPhoneSystem 14.0.45826.228 (45008)
1627	3CXPhoneSystem 14.0.47020.408 (46852)
2792	3CXPhoneSystem 14.0.49169.513 (48654)
3066	3CXPhoneSystem 15.0.57336.0 (56355)
3252	3CXPhoneSystem 15.0.59950.0 (59299)
3969	3CXPhoneSystem 15.5.10244.4 (9880)
3610	3CXPhoneSystem 15.5.3849.1 (3392)
3834	3CXPhoneSystem 15.5.6354.2 (6180)
3890	3CXPhoneSystem 15.5.8801.3 (8713)
3913	3CXPhoneSystem 15.5.9348.3 (8713)
3795	41315281818
4063	66.71
2929	99999999999999999999
3502	a
4061	A 3.14.38765 rv2.8.3
3780	a'or'3=3--
3781	a'or'3=4--
4076	A1B2
475	a=Pinger&v=8.0.3&b=55&c=pingerphone2-iphone-free
511	a=Pinger&v=8.0.4&b=68&c=pingerphone2-iphone-free
513	a=PPA&v=3.0.5&b=8&c=pingerphone2-android
3651	aastra
83	Aastra 51i/2.6.0.2019
225	Aastra 53i/2.0.2.1040 Brcm-Callctrl/v1.7.2.2 M5T SIP-UA SAFE/v3.6.7.11
123	Aastra 53i/2.5.2.1500
169	Aastra 53i/2.6.0.1007
98	Aastra 53i/2.6.0.2010
101	Aastra 53i/2.6.0.66
