"id_sensor","time","saddr","mosf1_min","mosf1_avg","mosf2_min","mosf2_avg","mosAD_min","mosAD_avg","jitter_max","jitter_avg","loss_max_mult10","loss_avg_mult10","counter"
501,"2018-05-30 00:00:00",845309816,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:00",875246285,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:00",1090360462,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:00",1090360550,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:00",1145337708,45,45,45,45,45,45,0,0,0,0,3
902,"2018-05-30 00:00:00",1176754522,45,45,45,45,45,45,2,2,0,0,1
501,"2018-05-30 00:00:00",1653559798,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-30 00:00:00",1654599251,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-30 00:00:00",3227975250,45,45,45,45,45,45,0,0,1,0,10
501,"2018-05-30 00:00:00",3227975251,45,45,45,45,45,45,0,0,0,0,10
801,"2018-05-30 00:00:00",3227975486,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-30 00:00:00",3227975487,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:00",3227975507,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:00",3345303600,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:00",3350650146,45,45,45,45,45,45,0,0,0,0,2
902,"2018-05-30 00:00:00",3438593084,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:00",3461413489,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:00",3495526469,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:00",3495526932,45,45,45,45,45,45,0,0,0,0,5
501,"2018-05-30 00:00:00",3495526937,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:00",3495527062,45,45,45,45,45,45,0,0,0,0,4
501,"2018-05-30 00:00:00",3624749586,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-30 00:00:10",845309816,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",1090360462,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",1090360550,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:10",1145337708,45,45,45,45,45,45,0,0,0,0,3
902,"2018-05-30 00:00:10",1176754522,45,45,45,45,45,45,2,2,0,0,1
501,"2018-05-30 00:00:10",1176780562,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",1653559798,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-30 00:00:10",1654599251,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",3227975250,45,45,45,45,45,45,0,0,0,0,11
501,"2018-05-30 00:00:10",3227975251,45,45,45,45,39,44,0,0,1,0,11
801,"2018-05-30 00:00:10",3227975486,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-30 00:00:10",3227975487,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:10",3227975507,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",3345303600,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",3350650146,45,45,45,45,45,45,0,0,0,0,2
902,"2018-05-30 00:00:10",3438593084,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:10",3461413489,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",3495526469,45,45,45,45,45,45,0,0,1,1,1
501,"2018-05-30 00:00:10",3495526932,45,45,45,45,45,45,0,0,1,0,5
501,"2018-05-30 00:00:10",3495526937,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",3495527062,45,45,45,45,45,45,0,0,0,0,3
501,"2018-05-30 00:00:10",3497430254,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",3624749586,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:10",3640363090,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-30 00:00:20",845309816,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:20",875246285,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:20",1090360462,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:20",1090360550,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:20",1145337708,45,45,45,45,45,45,0,0,0,0,2
902,"2018-05-30 00:00:20",1176754522,45,45,45,45,45,45,2,2,0,0,1
501,"2018-05-30 00:00:20",1176780562,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-30 00:00:20",1653559798,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-30 00:00:20",1654599250,45,45,45,45,45,45,0,0,0,0,2
902,"2018-05-30 00:00:20",1654599251,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-30 00:00:20",3227975250,45,45,45,45,45,45,0,0,0,0,11
501,"2018-05-30 00:00:20",3227975251,45,45,45,45,45,45,0,0,0,0,12
801,"2018-05-30 00:00:20",3227975486,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:20",3227975487,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:20",3227975507,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:20",3345303600,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-30 00:00:20",3349638548,45,45,45,45,45,45,3,3,0,0,1
501,"2018-05-30 00:00:20",3350650146,45,45,45,45,45,45,3,1,0,0,3
902,"2018-05-30 00:00:20",3438593084,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-30 00:00:20",3461413489,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:20",3495526469,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:20",3495526932,45,45,45,45,45,45,0,0,0,0,4
501,"2018-05-30 00:00:20",3495526937,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:20",3495527062,45,45,45,45,45,45,0,0,0,0,4
501,"2018-05-30 00:00:20",3624749586,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-30 00:00:20",3640363090,45,45,45,45,45,45,0,0,0,0,2
