,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_asip,b_saddr_asn,b_saddr_asorg,b_saddr_asip
71483861,2018-03-15,3227975250,41732323,395152,CloudPBX,192.102.254.82,5607,Sky UK Limited,2.124.200.227
70783533,2018-03-09,3227975251,41733976,395152,CloudPBX,192.102.254.83,5607,Sky UK Limited,2.124.207.88
76384583,2018-05-03,1654599250,69076145,395766,CloudPBX,98.159.46.82,3356,"Level 3 Parent, LLC",4.30.4.177
65221709,2018-01-11,3227975251,70715842,395152,CloudPBX,192.102.254.83,3356,"Level 3 Parent, LLC",4.55.9.194
65444938,2018-01-15,3227975250,70715842,395152,CloudPBX,192.102.254.82,3356,"Level 3 Parent, LLC",4.55.9.194
77648504,2018-05-15,3227975506,70715842,393755,CloudPBX,192.102.255.82,3356,"Level 3 Parent, LLC",4.55.9.194
64497959,2018-01-01,3227975250,70715846,395152,CloudPBX,192.102.254.82,3356,"Level 3 Parent, LLC",4.55.9.198
65444057,2018-01-14,3227975251,70715846,395152,CloudPBX,192.102.254.83,3356,"Level 3 Parent, LLC",4.55.9.198
66402278,2018-01-26,3227975250,70723522,395152,CloudPBX,192.102.254.82,3356,"Level 3 Parent, LLC",4.55.39.194
77737397,2018-05-16,3227975506,70723522,393755,CloudPBX,192.102.255.82,3356,"Level 3 Parent, LLC",4.55.39.194
77851961,2018-05-17,1654599250,70723522,395766,CloudPBX,98.159.46.82,3356,"Level 3 Parent, LLC",4.55.39.194
65742253,2018-01-18,3227975250,70723778,395152,CloudPBX,192.102.254.82,3356,"Level 3 Parent, LLC",4.55.40.194
66362202,2018-01-26,3227975251,70723778,395152,CloudPBX,192.102.254.83,3356,"Level 3 Parent, LLC",4.55.40.194
65123759,2018-01-10,3227975251,70723782,395152,CloudPBX,192.102.254.83,3356,"Level 3 Parent, LLC",4.55.40.198
65223201,2018-01-11,3227975250,70723782,395152,CloudPBX,192.102.254.82,3356,"Level 3 Parent, LLC",4.55.40.198
77635221,2018-05-15,3227975507,70723782,393755,CloudPBX,192.102.255.83,3356,"Level 3 Parent, LLC",4.55.40.198
69848002,2018-03-02,3227975506,135491750,393755,CloudPBX,192.102.255.82,53345,One Source Networks Inc,8.19.112.166
65306751,2018-01-11,3227975507,135635994,393755,CloudPBX,192.102.255.83,46680,"Contactual, Inc.",8.21.164.26
66017643,2018-01-22,3227975506,136052875,393755,CloudPBX,192.102.255.82,32308,"8x8, Inc.",8.28.0.139
66298446,2018-01-25,3227975507,136052875,393755,CloudPBX,192.102.255.83,32308,"8x8, Inc.",8.28.0.139
64743723,2018-01-04,3227975251,136052878,395152,CloudPBX,192.102.254.83,32308,"8x8, Inc.",8.28.0.142
64777963,2018-01-04,3227975250,136052878,395152,CloudPBX,192.102.254.82,32308,"8x8, Inc.",8.28.0.142
65185848,2018-01-10,3227975506,136052881,393755,CloudPBX,192.102.255.82,32308,"8x8, Inc.",8.28.0.145
65869672,2018-01-19,3227975507,136052881,393755,CloudPBX,192.102.255.83,32308,"8x8, Inc.",8.28.0.145
65086323,2018-01-09,3227975506,136052882,393755,CloudPBX,192.102.255.82,32308,"8x8, Inc.",8.28.0.146
65480789,2018-01-15,3227975507,136052882,393755,CloudPBX,192.102.255.83,32308,"8x8, Inc.",8.28.0.146
65459195,2018-01-15,3227975507,136052883,393755,CloudPBX,192.102.255.83,32308,"8x8, Inc.",8.28.0.147
71108859,2018-03-13,3227975506,136052883,393755,CloudPBX,192.102.255.82,32308,"8x8, Inc.",8.28.0.147
64953999,2018-01-08,3227975507,136052884,393755,CloudPBX,192.102.255.83,32308,"8x8, Inc.",8.28.0.148
67382989,2018-02-06,3227975506,136052884,393755,CloudPBX,192.102.255.82,32308,"8x8, Inc.",8.28.0.148
68875023,2018-02-21,3227975506,136053194,393755,CloudPBX,192.102.255.82,32308,"8x8, Inc.",8.28.1.202
65528895,2018-01-15,3227975250,136716784,395152,CloudPBX,192.102.254.82,16504,Granite Telecommunications LLC,8.38.33.240
78226405,2018-05-23,3227975251,136716784,395152,CloudPBX,192.102.254.83,16504,Granite Telecommunications LLC,8.38.33.240
74148445,2018-04-11,3227975507,215430723,393755,CloudPBX,192.102.255.83,7018,"AT&T Services, Inc.",12.215.54.67
74153512,2018-04-11,3227975506,215430723,393755,CloudPBX,192.102.255.82,7018,"AT&T Services, Inc.",12.215.54.67
74312423,2018-04-12,1654599251,215430723,395766,CloudPBX,98.159.46.83,7018,"AT&T Services, Inc.",12.215.54.67
74330559,2018-04-12,1654599250,215430723,395766,CloudPBX,98.159.46.82,7018,"AT&T Services, Inc.",12.215.54.67
76024379,2018-04-30,3227975486,215430723,393755,CloudPBX,192.102.255.62,7018,"AT&T Services, Inc.",12.215.54.67
76029335,2018-04-30,3227975487,215430723,393755,CloudPBX,192.102.255.63,7018,"AT&T Services, Inc.",12.215.54.67
78144650,2018-05-23,3227975250,215430723,395152,CloudPBX,192.102.254.82,7018,"AT&T Services, Inc.",12.215.54.67
78157571,2018-05-23,3227975251,215430723,395152,CloudPBX,192.102.254.83,7018,"AT&T Services, Inc.",12.215.54.67
74735918,2018-04-17,1654599250,243845606,395766,CloudPBX,98.159.46.82,10103,HK Broadband Network Ltd.,14.136.201.230
64754858,2018-01-04,3227975250,386933003,395152,CloudPBX,192.102.254.82,852,TELUS Communications Inc.,23.16.33.11
64844736,2018-01-05,3227975251,386933003,395152,CloudPBX,192.102.254.83,852,TELUS Communications Inc.,23.16.33.11
65205642,2018-01-10,3227975507,386933003,393755,CloudPBX,192.102.255.83,852,TELUS Communications Inc.,23.16.33.11
65721753,2018-01-17,3227975506,386933003,393755,CloudPBX,192.102.255.82,852,TELUS Communications Inc.,23.16.33.11
77954816,2018-05-18,1654599250,386933003,395766,CloudPBX,98.159.46.82,852,TELUS Communications Inc.,23.16.33.11
77960626,2018-05-18,1654599251,386933003,395766,CloudPBX,98.159.46.83,852,TELUS Communications Inc.,23.16.33.11
70408342,2018-03-07,3227975251,386961018,395152,CloudPBX,192.102.254.83,852,TELUS Communications Inc.,23.16.142.122
71589257,2018-03-16,3227975250,386961018,395152,CloudPBX,192.102.254.82,852,TELUS Communications Inc.,23.16.142.122
64561876,2018-01-02,3227975250,386965699,395152,CloudPBX,192.102.254.82,852,TELUS Communications Inc.,23.16.160.195
64563507,2018-01-02,3227975251,386965699,395152,CloudPBX,192.102.254.83,852,TELUS Communications Inc.,23.16.160.195
74762962,2018-04-17,3227975506,386965699,393755,CloudPBX,192.102.255.82,852,TELUS Communications Inc.,23.16.160.195
76076164,2018-04-30,3227975507,386965699,393755,CloudPBX,192.102.255.83,852,TELUS Communications Inc.,23.16.160.195
64957150,2018-01-08,3227975250,386966137,395152,CloudPBX,192.102.254.82,852,TELUS Communications Inc.,23.16.162.121
64962594,2018-01-08,3227975251,386966137,395152,CloudPBX,192.102.254.83,852,TELUS Communications Inc.,23.16.162.121
67582920,2018-02-07,3227975250,386985224,395152,CloudPBX,192.102.254.82,852,TELUS Communications Inc.,23.16.237.8
68046033,2018-02-13,3227975251,386985224,395152,CloudPBX,192.102.254.83,852,TELUS Communications Inc.,23.16.237.8
77054765,2018-05-09,3227975251,386989517,395152,CloudPBX,192.102.254.83,852,TELUS Communications Inc.,23.16.253.205
77059619,2018-05-09,3227975250,386989517,395152,CloudPBX,192.102.254.82,852,TELUS Communications Inc.,23.16.253.205
77951834,2018-05-18,3227975506,386989517,393755,CloudPBX,192.102.255.82,852,TELUS Communications Inc.,23.16.253.205
77952949,2018-05-18,3227975507,386989517,393755,CloudPBX,192.102.255.83,852,TELUS Communications Inc.,23.16.253.205
77960332,2018-05-18,1654599250,386989517,395766,CloudPBX,98.159.46.82,852,TELUS Communications Inc.,23.16.253.205
77968696,2018-05-18,1654599251,386989517,395766,CloudPBX,98.159.46.83,852,TELUS Communications Inc.,23.16.253.205
64526610,2018-01-02,3227975250,386989957,395152,CloudPBX,192.102.254.82,852,TELUS Communications Inc.,23.16.255.133
64531714,2018-01-02,3227975251,386989957,395152,CloudPBX,192.102.254.83,852,TELUS Communications Inc.,23.16.255.133
72148278,2018-03-21,3227975506,386989957,393755,CloudPBX,192.102.255.82,852,TELUS Communications Inc.,23.16.255.133
64496904,2018-01-01,3227975506,387781962,393755,CloudPBX,192.102.255.82,6983,"Earthlink, Inc.",23.29.21.74
64518804,2018-01-02,3227975507,387781962,393755,CloudPBX,192.102.255.83,6983,"Earthlink, Inc.",23.29.21.74
64575676,2018-01-02,1654599251,387781962,395766,CloudPBX,98.159.46.83,6983,"Earthlink, Inc.",23.29.21.74
64635618,2018-01-03,1654599250,387781962,395766,CloudPBX,98.159.46.82,6983,"Earthlink, Inc.",23.29.21.74
65998948,2018-01-22,3227975250,387781962,395152,CloudPBX,192.102.254.82,6983,"Earthlink, Inc.",23.29.21.74
66012993,2018-01-22,3227975251,387781962,395152,CloudPBX,192.102.254.83,6983,"Earthlink, Inc.",23.29.21.74
64496813,2018-01-01,3227975506,387781963,393755,CloudPBX,192.102.255.82,6983,"Earthlink, Inc.",23.29.21.75
64508999,2018-01-02,3227975507,387781963,393755,CloudPBX,192.102.255.83,6983,"Earthlink, Inc.",23.29.21.75
64668585,2018-01-03,1654599250,387781963,395766,CloudPBX,98.159.46.82,6983,"Earthlink, Inc.",23.29.21.75
65283258,2018-01-11,1654599251,387781963,395766,CloudPBX,98.159.46.83,6983,"Earthlink, Inc.",23.29.21.75
66128312,2018-01-23,3227975250,387781963,395152,CloudPBX,192.102.254.82,6983,"Earthlink, Inc.",23.29.21.75
66298214,2018-01-25,3227975251,387781963,395152,CloudPBX,192.102.254.83,6983,"Earthlink, Inc.",23.29.21.75
64492653,2018-01-01,3227975507,387781978,393755,CloudPBX,192.102.255.83,6983,"Earthlink, Inc.",23.29.21.90
64496686,2018-01-01,3227975506,387781978,393755,CloudPBX,192.102.255.82,6983,"Earthlink, Inc.",23.29.21.90
64586724,2018-01-02,1654599250,387781978,395766,CloudPBX,98.159.46.82,6983,"Earthlink, Inc.",23.29.21.90
64967048,2018-01-08,1654599251,387781978,395766,CloudPBX,98.159.46.83,6983,"Earthlink, Inc.",23.29.21.90
66107502,2018-01-23,3227975251,387781978,395152,CloudPBX,192.102.254.83,6983,"Earthlink, Inc.",23.29.21.90
66400220,2018-01-26,3227975250,387781978,395152,CloudPBX,192.102.254.82,6983,"Earthlink, Inc.",23.29.21.90
64501734,2018-01-02,3227975506,387781979,393755,CloudPBX,192.102.255.82,6983,"Earthlink, Inc.",23.29.21.91
64513687,2018-01-02,3227975507,387781979,393755,CloudPBX,192.102.255.83,6983,"Earthlink, Inc.",23.29.21.91
64737648,2018-01-04,1654599250,387781979,395766,CloudPBX,98.159.46.82,6983,"Earthlink, Inc.",23.29.21.91
64739187,2018-01-04,1654599251,387781979,395766,CloudPBX,98.159.46.83,6983,"Earthlink, Inc.",23.29.21.91
66137929,2018-01-23,3227975250,387781979,395152,CloudPBX,192.102.254.82,6983,"Earthlink, Inc.",23.29.21.91
66401118,2018-01-26,3227975251,387781979,395152,CloudPBX,192.102.254.83,6983,"Earthlink, Inc.",23.29.21.91
70570707,2018-03-08,3227975251,391880440,395152,CloudPBX,192.102.254.83,5645,"TekSavvy Solutions, Inc.",23.91.158.248
70583560,2018-03-08,3227975250,391880440,395152,CloudPBX,192.102.254.82,5645,"TekSavvy Solutions, Inc.",23.91.158.248
74872573,2018-04-18,1654599251,391910244,395766,CloudPBX,98.159.46.83,63949,"Linode, LLC",23.92.19.100
75404747,2018-04-24,3227975507,391910244,393755,CloudPBX,192.102.255.83,63949,"Linode, LLC",23.92.19.100
68745125,2018-02-20,3227975506,391940137,393755,CloudPBX,192.102.255.82,40788,Start Communications,23.92.136.41
74537765,2018-04-14,3227975507,397803714,393755,CloudPBX,192.102.255.83,395043,Ascent Energy Services Inc.,23.182.0.194
69248365,2018-02-24,3227975507,401151516,393755,CloudPBX,192.102.255.83,5645,"TekSavvy Solutions, Inc.",23.233.22.28
70391635,2018-03-07,3227975506,401151516,393755,CloudPBX,192.102.255.82,5645,"TekSavvy Solutions, Inc.",23.233.22.28
74490921,2018-04-13,3227975250,404020096,395152,CloudPBX,192.102.254.82,7922,"Comcast Cable Communications, LLC",24.20.219.128
64726722,2018-01-04,3227975506,405133426,393755,CloudPBX,192.102.255.82,5769,Videotron Telecom Ltee,24.37.216.114
64736304,2018-01-04,1654599250,405133426,395766,CloudPBX,98.159.46.82,5769,Videotron Telecom Ltee,24.37.216.114
64929524,2018-01-08,3227975507,405133426,393755,CloudPBX,192.102.255.83,5769,Videotron Telecom Ltee,24.37.216.114
65045677,2018-01-09,1654599251,405133426,395766,CloudPBX,98.159.46.83,5769,Videotron Telecom Ltee,24.37.216.114
66137272,2018-01-23,3227975250,405133426,395152,CloudPBX,192.102.254.82,5769,Videotron Telecom Ltee,24.37.216.114
78148276,2018-05-23,3227975251,405133426,395152,CloudPBX,192.102.254.83,5769,Videotron Telecom Ltee,24.37.216.114
68063251,2018-02-13,3227975507,405971071,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.160.127
68063268,2018-02-13,3227975506,405971071,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.160.127
70259156,2018-03-06,3227975507,405971412,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.161.212
70550168,2018-03-08,3227975506,405971412,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.161.212
73442729,2018-04-04,3227975507,405971428,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.161.228
73474183,2018-04-04,3227975506,405971428,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.161.228
76387735,2018-05-03,3227975507,405971488,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.162.32
76390600,2018-05-03,3227975506,405971488,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.162.32
75116932,2018-04-20,3227975506,405971506,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.162.50
74981159,2018-04-19,3227975506,405971611,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.162.155
75029682,2018-04-19,3227975507,405971611,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.162.155
76038584,2018-04-30,3227975506,405971680,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.162.224
76070383,2018-04-30,3227975507,405971680,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.162.224
76628746,2018-05-04,3227975506,405971743,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.163.31
76628827,2018-05-04,3227975507,405971743,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.163.31
76774882,2018-05-07,3227975506,405971847,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.163.135
76801455,2018-05-07,3227975507,405971847,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.163.135
70458483,2018-03-07,3227975506,405971874,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.163.162
70506168,2018-03-08,3227975507,405971874,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.163.162
64510190,2018-01-02,3227975507,405971887,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.163.175
64514352,2018-01-02,3227975506,405971887,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.163.175
75965848,2018-04-30,3227975507,405972036,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.164.68
75986074,2018-04-30,3227975506,405972036,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.164.68
71658491,2018-03-17,3227975506,405972123,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.164.155
75832075,2018-04-27,3227975506,405972383,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.165.159
74967876,2018-04-19,3227975507,405972393,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.165.169
74974148,2018-04-19,3227975506,405972393,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.165.169
77452167,2018-05-13,3227975506,405972557,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.166.77
77497626,2018-05-14,3227975507,405972557,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.166.77
78116338,2018-05-23,1654599250,405972557,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.166.77
78124251,2018-05-23,1654599251,405972557,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.166.77
78200545,2018-05-23,3227975250,405972557,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.166.77
75002083,2018-04-19,3227975507,405972604,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.166.124
75006713,2018-04-19,3227975506,405972604,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.166.124
78128754,2018-05-23,3227975250,405972604,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.166.124
78143008,2018-05-23,1654599251,405972604,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.166.124
75549313,2018-04-25,3227975506,405972613,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.166.133
76252639,2018-05-02,3227975507,405972613,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.166.133
78437674,2018-05-28,3227975506,405972835,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.167.99
78448003,2018-05-28,3227975507,405972835,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.167.99
64489832,2018-01-01,3227975507,405972958,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.167.222
64489868,2018-01-01,3227975506,405972958,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.167.222
74962691,2018-04-19,3227975507,405973258,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.10
75002780,2018-04-19,3227975506,405973258,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.10
75529726,2018-04-24,1654599250,405973258,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.169.10
67905716,2018-02-12,3227975506,405973273,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.25
67907373,2018-02-12,3227975507,405973273,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.25
75261552,2018-04-23,1654599250,405973273,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.169.25
71407259,2018-03-15,3227975507,405973363,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.115
71412182,2018-03-15,3227975506,405973363,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.115
64556326,2018-01-02,3227975506,405973365,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.117
64566723,2018-01-02,3227975251,405973365,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.169.117
64676986,2018-01-03,3227975507,405973365,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.117
64846857,2018-01-05,3227975250,405973365,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.169.117
66120597,2018-01-23,1654599251,405973365,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.169.117
73161374,2018-04-02,3227975507,405973449,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.201
73162694,2018-04-02,3227975506,405973449,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.201
73252112,2018-04-03,3227975251,405973449,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.169.201
73685336,2018-04-06,3227975250,405973449,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.169.201
78450684,2018-05-28,3227975507,405973572,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.68
78473410,2018-05-28,3227975506,405973572,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.68
74715689,2018-04-17,3227975507,405973577,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.73
74723166,2018-04-17,3227975506,405973577,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.73
65897129,2018-01-19,3227975506,405973597,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.93
66009701,2018-01-22,3227975507,405973597,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.93
71887543,2018-03-20,3227975506,405973628,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.124
71950688,2018-03-20,3227975507,405973628,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.124
72175509,2018-03-21,3227975250,405973628,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.170.124
65045609,2018-01-09,3227975506,405973636,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.132
65149905,2018-01-10,3227975507,405973636,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.132
64613796,2018-01-03,3227975506,405973695,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.191
64619522,2018-01-03,3227975507,405973695,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.191
70132699,2018-03-05,3227975507,405973726,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.222
70712291,2018-03-09,3227975506,405973726,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.222
73071658,2018-03-31,3227975507,405973727,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.223
73277904,2018-04-03,3227975506,405973727,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.223
72063372,2018-03-21,3227975507,405973728,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.224
