,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,count,bad_count,bad_ratio,mean_Qualfun,mean_b_mos_adapt_mult10,bad_count_lt40
0,3227975250,41732323,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,5607,Sky UK Limited,2.124.200.227,53.2738,-2.6087,2,0,0.0,1.6106164815136301,45.0,0
1,3227975251,41733976,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,5607,Sky UK Limited,2.124.207.88,53.2738,-2.6087,2,0,0.0,10.444028071781375,45.0,0
2,1654599250,69076145,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,3356,"Level 3 Parent, LLC",4.30.4.177,32.8072,-117.1649,1,0,0.0,0.0,45.0,0
3,3227975251,70715842,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.9.194,37.751,-97.822,26,0,0.0,0.05487202818760718,45.0,0
4,3227975250,70715842,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.9.194,37.751,-97.822,20,0,0.0,0.028394546943379152,45.0,0
5,3227975506,70715842,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.9.194,37.751,-97.822,2,0,0.0,0.0,45.0,0
6,3227975250,70715846,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.9.198,37.751,-97.822,18,0,0.0,0.028103462640494507,45.0,0
7,3227975251,70715846,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.9.198,37.751,-97.822,12,0,0.0,0.18159113417794956,45.0,0
8,3227975250,70723522,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.39.194,37.751,-97.822,2,0,0.0,0.0,45.0,0
9,3227975506,70723522,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.39.194,37.751,-97.822,1,0,0.0,0.0,45.0,0
10,1654599250,70723522,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,3356,"Level 3 Parent, LLC",4.55.39.194,37.751,-97.822,1,0,0.0,0.0,45.0,0
11,3227975250,70723778,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.40.194,37.751,-97.822,12,0,0.0,0.030665751792578317,45.0,0
12,3227975251,70723778,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.40.194,37.751,-97.822,16,0,0.0,0.08017675850811358,45.0,0
13,3227975251,70723782,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.40.198,37.751,-97.822,18,0,0.0,0.2400446160626035,45.0,0
14,3227975250,70723782,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,3356,"Level 3 Parent, LLC",4.55.40.198,37.751,-97.822,18,0,0.0,0.03966427575880041,45.0,0
